Raw_Title,Raw_ArXiv_or_DOI,Source_File,Issue,Notes
AdaTooler-V: Adaptive Tool-Use for Images and Videos,arXiv:2512.16918v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Addressing Bias Through Ensemble Learning and Regularized Fine-Tuning,arXiv:2402.00910v2,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
ADEPT: RL-Aligned Agentic Decoding of Emotion via Evidence Probing Tools -- From Consensus Learning to Ambiguity-Driven Emotion Reasoning,arXiv:2602.12714v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"Agent Skills for Large Language Models: Architecture, Acquisition, Security, and the Path Forward",arXiv:2602.12430v3,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning,arXiv:2602.10090v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Agent-Omit: Training Efficient LLM Agents for Adaptive Thought and Observation Omission via Agentic Reinforcement Learning,arXiv:2602.04284v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
AgentCPM-Explore: Realizing Long-Horizon Deep Exploration for Edge-Scale Agents,arXiv:2602.06485v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
AgentCPM-Report: Interleaving Drafting and Deepening for Open-Ended Deep Research,arXiv:2602.06540v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Agentic AI: The age of reasoning-A review,10.1016/j.jai.2025.08.003,citation_expansion,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Agentic Reasoning and Tool Integration for LLMs via Reinforcement Learning,arXiv:2505.01441v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
AgentMath: Empowering Mathematical Reasoning for Large Language Models via Tool-Augmented Agent,arXiv:2512.20745v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Alignment faking in large language models,arXiv:2412.14093v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
ALIVE: Awakening LLM Reasoning via Adversarial Learning and Instructive Verbal Evaluation,arXiv:2602.05472v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
AnomSeer: Reinforcing Multimodal LLMs to Reason for Time-Series Anomaly Detection,arXiv:2602.08868v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"Answer First, Reason Later: Aligning Search Relevance via Mode-Balanced Reinforcement Learning",arXiv:2602.10006v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Approximation of Log-Partition Function in Policy Mirror Descent Induces Implicit Regularization for LLM Post-Training,arXiv:2602.05933v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Are More Tokens Rational? Inference-Time Scaling in Language Models as Adaptive Resource Rationality,arXiv:2602.10329v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
ArenaRL: Scaling RL for Open-Ended Agents via Tournament-based Relative Ranking,arXiv:2601.06487v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
ASTER: Agentic Scaling with Tool-integrated Extended Reasoning,arXiv:2602.01204v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
ASTRA: Automated Synthesis of agentic Trajectories and Reinforcement Arenas,arXiv:2601.21558v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Asynchronous Large Language Model Enhanced Planner for Autonomous Driving,arXiv:2406.14556v3,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning,arXiv:2602.13685v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
AutoTIR: Autonomous Tools Integrated Reasoning via Reinforcement Learning,arXiv:2507.21836v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
AutoTool: Dynamic Tool Selection and Integration for Agentic Reasoning,arXiv:2512.13278v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
AWPO: Enhancing Tool-Use of Large Language Models through Adaptive Integration of Reasoning Rewards,arXiv:2512.19126v3,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"Bachia barbouri: Lehr, E., Perez, J. &amp; Catenazzi, A.",arXiv:2311.10538,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Back to Basics: Revisiting Exploration in Reinforcement Learning for LLM Reasoning via Generative Probabilities,arXiv:2602.05281v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Balancing Faithfulness and Performance in Reasoning via Multi-Listener Soft Execution,arXiv:2602.16154v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Bayesian Preference Learning for Test-Time Steerable Reward Models,arXiv:2602.08819v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,arXiv:1810.04805v2,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Beyond Correctness: Learning Robust Reasoning via Transfer,arXiv:2602.08489v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Beyond Scalar Scores: Reinforcement Learning for Error-Aware Quality Estimation of Machine Translation,arXiv:2602.08600v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Beyond Single-Shot: Multi-step Tool Retrieval via Query Planning,arXiv:2601.07782v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Beyond SMILES: Evaluating Agentic Systems for Drug Discovery,arXiv:2602.10163v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Beyond Variance: Prompt-Efficient RLVR via Rare-Event Amplification and Bidirectional Pairing,arXiv:2602.03452v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Beyond Words: Evaluating and Bridging Epistemic Divergence in User-Agent Interaction via Theory of Mind,arXiv:2602.13832v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"BNAI, NO-TOKEN, and MIND-UNITY: Pillars of a Systemic Revolution in Artificial Intelligence",arXiv:2201.11903,citation_expansion,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Bridging Online and Offline RL: Contextual Bandit Learning for Multi-Turn Code Generation,arXiv:2602.03806v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Can large language models explore in-context?,arXiv:2403.15371v3,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Can vision language models learn intuitive physics from interaction?,arXiv:2602.06033v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Capability-Oriented Training Induced Alignment Risk,arXiv:2602.12124v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
CC-NET: Image Complexity Guided Network Compression for Biomedical Image Segmentation,10.1109/isbi.2019.8759448,citation_expansion,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Chart Specification: Structural Representations for Incentivizing VLM Reasoning in Chart-to-Code Generation,arXiv:2602.10880v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Chatting with Images for Introspective Visual Thinking,arXiv:2602.11073v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
CM2: Reinforcement Learning with Checklist Rewards for Multi-Turn and Multi-Step Agentic Tool Use,arXiv:2602.12268v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Collaborating with language models for embodied reasoning,arXiv:2302.00763v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
CoLT: Reasoning with Chain of Latent Tool Calls,arXiv:2602.04246v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Competitive Programming with Large Reasoning Models,arXiv:2502.06807v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Composition-RL: Compose Your Verifiable Prompts for Reinforcement Learning of Large Language Models,arXiv:2602.12036v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,arXiv:2601.07224v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Contextual Rollout Bandits for Reinforcement Learning with Verifiable Rewards,arXiv:2602.08499v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Cooperative Edge Caching with Large Language Model in Wireless Networks,arXiv:2602.13307v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
CoRAL: Collaborative Retrieval-Augmented Large Language Models Improve Long-tail Recommendation,10.1145/3637528.3671901,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
CosmoCore-Evo: Evolutionary Dream-Replay Reinforcement Learning for Adaptive Code Generation,arXiv:2512.21351v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
CPMobius: Iterative Coach-Player Reasoning for Data-Free Reinforcement Learning,arXiv:2602.02979v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Credit Where It is Due: Cross-Modality Connectivity Drives Precise Reinforcement Learning for MLLM Reasoning,arXiv:2602.11455v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Crossing the Reward Bridge: Expanding RL with Verifiable Rewards Across Diverse Domains,arXiv:2503.23829v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Curious George: An attentive semantic robot,10.1016/j.robot.2008.03.008,citation_expansion,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Curriculum learning,10.1145/1553374.1553380,citation_expansion,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
D-ORCA: Dialogue-Centric Optimization for Robust Audio-Visual Captioning,arXiv:2602.07960v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
DAPO: An Open-Source LLM Reinforcement Learning System at Scale,arXiv:2503.14476v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Data-Efficient Reinforcement Learning with Self-Predictive Representations,arXiv:2007.05929v4,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
DataChef: Cooking Up Optimal Data Recipes for LLM Adaptation via Reinforcement Learning,arXiv:2602.11089v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Deconstructing The Ethics of Large Language Models from Long-standing Issues to New-emerging Dilemmas: A Survey,arXiv:2406.05392v2,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Decoupling Skeleton and Flesh: Efficient Multimodal Table Reasoning with Disentangled Alignment and Structure-aware Guidance,arXiv:2602.03491v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Deep Dense Exploration for LLM Reinforcement Learning via Pivot-Driven Resampling,arXiv:2602.14169v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
DeepSeek-V3.2: Pushing the Frontier of Open Large Language Models,arXiv:2512.02556v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
DeepSport: A Multimodal Large Language Model for Comprehensive Sports Video Reasoning via Agentic Reinforcement Learning,arXiv:2511.12908v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Discovery and Reinforcement of Tool-Integrated Reasoning Chains via Rollout Trees,arXiv:2601.08274v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",arXiv:1910.01108v4,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Do MLLMs Really See It: Reinforcing Visual Attention in Multimodal LLMs,arXiv:2602.08241v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs,arXiv:2602.07729v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Document Reconstruction Unlocks Scalable Long-Context RLVR,arXiv:2602.08237v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?,arXiv:2504.13837v5,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Dota 2 with Large Scale Deep Reinforcement Learning,arXiv:1912.06680v1,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
DreamHome-Pano: Design-Aware and Conflict-Free Panoramic Interior Generation,arXiv:2602.06494v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
DriveFine: Refining-Augmented Masked Diffusion VLA for Precise and Robust Driving,arXiv:2602.14577v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
DrugR: Optimizing Molecular Drugs through LLM-based Explicit Reasoning,arXiv:2602.08213v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Dynamic Long Context Reasoning over Compressed Memory via End-to-End Reinforcement Learning,arXiv:2602.08382v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
EARL: Efficient Agentic Reinforcement Learning Systems for Large Language Models,arXiv:2510.05943v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
ECG-R1: Protocol-Guided and Modality-Agnostic MLLM for Reliable ECG Interpretation,arXiv:2602.04279v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Efficient Adversarial Training in LLMs with Continuous Attacks,arXiv:2405.15589v3,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Efficient and Stable Reinforcement Learning for Diffusion Language Models,arXiv:2602.08905v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Efficient Estimation of Kernel Surrogate Models for Task Attribution,arXiv:2602.03783v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Efficient Multi-Task Reinforcement Learning via Task-Specific Action Correction,arXiv:2404.05950v1,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Efficient Prompting via Dynamic In-Context Learning,arXiv:2305.11170v1,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
ElecBench: a Power Dispatch Evaluation Benchmark for Large Language Models,arXiv:2407.05365v2,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
EMA Policy Gradient: Taming Reinforcement Learning for LLMs with EMA Anchor and Top-k KL,arXiv:2602.04417v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Emergent autonomous scientific research capabilities of large language models,arXiv:2304.05332v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
End-to-End Robotic Reinforcement Learning without Reward Engineering,arXiv:1904.07854v2,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
EnvScaler: Scaling Tool-Interactive Environments for LLM Agent via Programmatic Synthesis,arXiv:2601.05808v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Etienne Marcel und die Pariser Commune. (P. v. BojanowSki.),10.1515/9783112366868-023,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Evaluating an evidence-guided reinforcement learning framework in aligning light-parameter large language models with decision-making cognition in psychiatric clinical reasoning,arXiv:2602.06449v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Evaluating and Enhancing the Vulnerability Reasoning Capabilities of Large Language Models,arXiv:2602.06687v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
EventMemAgent: Hierarchical Event-Centric Memory for Online Video Understanding with Adaptive Tool Use,arXiv:2602.15329v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Evolution Through Large Models,10.1007/978-981-99-3814-8_11,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Evolutionary System Prompt Learning can Facilitate Reinforcement Learning for LLMs,arXiv:2602.14697v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Expanding the Capabilities of Reinforcement Learning via Text Feedback,arXiv:2602.02482v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects",arXiv:2401.03428v1,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
"F. Cassano, Tre modi di vedere il Sud",,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
FaithRL: Learning to Reason Faithfully through Step-Level Faithfulness Maximization,arXiv:2602.03507v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Fake-HR1: Rethinking Reasoning of Vision Language Model for Synthetic Image Detection,arXiv:2602.10042v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Features as Rewards: Scalable Supervision for Open-Ended Tasks via Interpretability,arXiv:2602.10067v3,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Feedback-Driven Tool-Use Improvements in Large Language Models via Automated Build Environments,arXiv:2508.08791v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Fine-Tuning GPT-5 for GPU Kernel Generation,arXiv:2602.11000v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Fine-Tuning Large Language Models with User-Level Differential Privacy,arXiv:2407.07737v1,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Fine-Tuning Large Vision-Language Models as Decision-Making Agents via Reinforcement Learning,arXiv:2405.10292v3,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
FIRE: Frobenius-Isometry Reinitialization for Balancing the Stability-Plasticity Tradeoff,arXiv:2602.08040v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
FMBench: Adaptive Large Language Model Output Formatting,arXiv:2602.06384v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
ForgeryVCR: Visual-Centric Reasoning via Efficient Forensic Tools in MLLMs for Image Forgery Detection and Localization,arXiv:2602.14098v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
From Correction to Mastery: Reinforced Distillation of Large Language Model Agents,arXiv:2509.14257v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
GAIA -- A Large Language Model for Advanced Power Dispatch,arXiv:2408.03847v1,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Gaia2: Benchmarking LLM Agents on Dynamic and Asynchronous Environments,arXiv:2602.11964v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
General learned delegation by clones,arXiv:2602.13262v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Generalizable End-to-End Tool-Use RL with Synthetic CodeGym,arXiv:2509.17325v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Generating Data-Driven Reasoning Rubrics for Domain-Adaptive Reward Modeling,arXiv:2602.06795v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Generating with Confidence: Uncertainty Quantification for Black-box Large Language Models,arXiv:2305.19187v3,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
GenSeg-R1: RL-Driven Vision-Language Grounding for Fine-Grained Referring Segmentation,arXiv:2602.09701v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
GeoEyes: On-Demand Visual Focusing for Evidence-Grounded Understanding of Ultra-High-Resolution Remote Sensing Imagery,arXiv:2602.14201v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"GLoRe: When, Where, and How to Improve LLM Reasoning via Global and Local Refinements",arXiv:2402.10963v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Goal Misgeneralization in Deep Reinforcement Learning,arXiv:2105.14111,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Goldilocks RL: Tuning Task Difficulty to Escape Sparse Rewards for Reasoning,arXiv:2602.14868v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Gorilla: Large Language Model Connected with Massive APIs,arXiv:2305.15334v1,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
GPG: A Simple and Strong Reinforcement Learning Baseline for Model Reasoning,arXiv:2504.02546v4,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Guided by Trajectories: Repairing and Rewarding Tool-Use Trajectories for Tool-Integrated Reasoning,arXiv:2601.23032v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Guiding Large Language Models via Directional Stimulus Prompting,arXiv:2302.11520v4,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Guiding Pretraining in Reinforcement Learning with Large Language Models,arXiv:2302.06692v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
High Fidelity Textual User Representation over Heterogeneous Sources via Reinforcement Learning,arXiv:2602.07333v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
How Do LLMs Fail In Agentic Scenarios? A Qualitative Analysis of Success and Failure Scenarios of Various LLMs in Agentic Simulations,arXiv:2512.07497v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Improve Vision Language Model Chain-of-thought Reasoning,arXiv:2410.16198v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Improving HPC Code Generation Capability of LLMs via Online Reinforcement Learning with Real-Machine Benchmark Rewards,arXiv:2602.12049v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
In-Context Function Learning in Large Language Models,arXiv:2602.11863v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Inference-Time Scaling for Generalist Reward Modeling,arXiv:2504.02495v3,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
InfoAgent: Advancing Autonomous Information-Seeking Agents,arXiv:2509.25189v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
IntentRL: Training Proactive User-intent Agents for Open-ended Deep Research via Reinforcement Learning,arXiv:2602.03468v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Internalizing Meta-Experience into Memory for Guided Reinforcement Learning in Large Language Models,arXiv:2602.10224v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Intrinsic Credit Assignment for Long Horizon Interaction,arXiv:2602.12342v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Inverse Reward Design,arXiv:1711.02827,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates,arXiv:2601.18510v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning,arXiv:2602.14293v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Kimi k1.5: Scaling Reinforcement Learning with LLMs,arXiv:2501.12599v4,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Knowledge is Not Enough: Injecting RL Skills for Continual Adaptation,arXiv:2601.11258v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"La radio y la television de servisio publico: el desafio del siglo XXI / Ed. by D.Atkinson, M.Raboy, O.Zernetskaya et all.",arXiv:2403.05911,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
Language Model Self-improvement by Reinforcement Learning Contemplation,arXiv:2305.14483v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Language Models can Solve Computer Tasks,arXiv:2303.17491v3,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"Large Language Model (LLM) for Telecommunications: A Comprehensive Survey on Principles, Key Techniques, and Opportunities",10.1109/comst.2024.3465447,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree,arXiv:2601.14523v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Large Language Models as Generalizable Policies for Embodied Tasks,arXiv:2310.17722v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
"Large Language Models: A Comprehensive Survey of its Applications, Challenges, Limitations, and Future Prospects",10.36227/techrxiv.23589741.v4,citation_expansion,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
