Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Verification_Provider,Verification_URL,Verification_Confidence,Provenance
Demystifying Long Chain-of-Thought Reasoning in LLMs,"Edward Yeo, Yuxuan Tong, Morry Niu, Graham Neubig, Xiang Yue",2025,ArXiv,arXiv:2502.03373v1,Policy|Reward|ToolUse|Reasoning|Verifier|Architecture,"Demystifying Long Chain-of-Thought Reasoning in LLMs inserts a LLM reward module directly into the RL loop. It studies reward-shaping RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on web/navigation environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM reward module within reward-shaping RL on web/navigation environments tasks, as shown in Demystifying Long Chain-of-Thought Reasoning in LLMs. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2502.03373v1,High,papers.csv
The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,"Guibin Zhang, Hejia Geng, Xiaohang Yu, Zhenfei Yin, Zaibin Zhang, Zelin Tan, Heng Zhou, Zhongzhi Li, Xiangyuan Xue, Yijiang Li, Yifan Zhou, Yang Chen, Chen Zhang, Yutao Fan, Zihu Wang, Songtao Huang, Francisco Piedrahita-Velez, Yue Liao, Hongru Wang, Mengyue Yang, Heng Ji, Jun Wang, Shuicheng Yan, Philip Torr, Lei Bai",2025,ArXiv,arXiv:2509.02547v4,Policy|Planning|ToolUse|Memory|Reasoning|Verifier|Architecture,"In this work, The Landscape of Agentic Reinforcement Learning for LLMs: A Survey uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is policy optimization RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/tool-interaction environments tasks, with improvements in success rate, returns, or sample efficiency.","The Landscape of Agentic Reinforcement Learning for LLMs: A Survey belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2509.02547v4,High,papers.csv|pdf_ref|targeted_search
Mixture-of-Minds: Multi-Agent Reinforcement Learning for Table Understanding,"Yuhang Zhou, Mingrui Zhang, Ke Li, Mingyi Wang, Qiao Liu, Qifei Wang, Jiayi Liu, Fei Liu, Serena Li, Weiwei Li, Mingze Gao, Abhishek Kumar, Xiangjun Fan, Zhuokai Zhao, Lizhu Zhang",2025,ArXiv,arXiv:2510.20176v2,Policy|Planning|Reasoning|TreeSearch|Verifier|MultiAgent|Architecture,"Mixture-of-Minds: Multi-Agent Reinforcement Learning for Table Understanding inserts a LLM planner directly into the RL loop. It studies multi-agent RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on robotics manipulation/control, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within multi-agent RL on robotics manipulation/control tasks, as shown in Mixture-of-Minds: Multi-Agent Reinforcement Learning for Table Understanding.",LLM_for_RL,arxiv,https://arxiv.org/abs/2510.20176v2,High,papers.csv|targeted_search
WorkForceAgent-R1: Incentivizing Reasoning Capability in LLM-based Web Agents via Reinforcement Learning,"Yuchen Zhuang, Di Jin, Jiaao Chen, Wenqi Shi, Hanrui Wang, Chao Zhang",2025,ArXiv,arXiv:2505.22942v2,Policy|Planning|Reward|Reasoning|Architecture|AgentTraining,"For WorkForceAgent-R1: Incentivizing Reasoning Capability in LLM-based Web Agents via Reinforcement Learning, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as tool-interactive RL agent training, making the LLM function part of control, reward, or planning computations. Experiments on web/navigation environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: WorkForceAgent-R1: Incentivizing Reasoning Capability in LLM-based Web Agents via Reinforcement Learning uses a LLM planner to support RL policy learning and control in web/navigation environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2505.22942v2,High,papers.csv|targeted_search
OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,"Mengkang Hu, Yuhang Zhou, Wendong Fan, Yuzhou Nie, Bowei Xia, Tao Sun, Ziyu Ye, Zhaoxuan Jin, Yingru Li, Qiguang Chen, Zeyu Zhang, Yifeng Wang, Qianshuo Ye, Bernard Ghanem, Ping Luo, Guohao Li",2025,ArXiv,arXiv:2505.23885v2,Policy|Planning|CreditAssignment|Verifier|MultiAgent|Architecture,"In this work, OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is multi-agent RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on multi-agent coordination environments tasks, with improvements in success rate, returns, or sample efficiency.","OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives.",LLM_for_RL,arxiv,https://arxiv.org/abs/2505.23885v2,High,papers.csv
SPELL: Self-Play Reinforcement Learning for Evolving Long-Context Language Models,"Ziyi Yang, Weizhou Shen, Chenliang Li, Ruijun Chen, Fanqi Wan, Ming Yan, Xiaojun Quan, Fei Huang",2025,ArXiv,arXiv:2509.23863v3,Reward|Reasoning|Verifier|Curriculum|Architecture,"In this work, SPELL: Self-Play Reinforcement Learning for Evolving Long-Context Language Models uses an LLM reward module to shape decisions inside an RL training or deployment cycle. The technical setting is reward-shaping RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on interactive control benchmarks tasks, with improvements in success rate, returns, or sample efficiency.","SPELL: Self-Play Reinforcement Learning for Evolving Long-Context Language Models belongs because the language model is embedded in the RL loop as a LLM reward module, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2509.23863v3,High,papers.csv|pdf_ref|targeted_search
A Survey of Robot Intelligence with Large Language Models,"Hyeongyo Jeong, Haechan Lee, Changwon Kim, Sungtae Shin",2024,Applied Sciences,10.3390/app14198868,Planning|Reward|Exploration|DatasetGeneration|Simulation|LanguageConditioning|Architecture,"In this work, A Survey of Robot Intelligence with Large Language Models uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is reward-shaping RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on robotics manipulation/control tasks, with improvements in success rate, returns, or sample efficiency.","A Survey of Robot Intelligence with Large Language Models belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,openalex,https://openalex.org/W4403074774,High,citation_expand|papers.csv
"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects","Yuheng Cheng, Ceyao Zhang, Zhengwen Zhang, Xiangrui Meng, Sirui Hong, Wenhao Li, Zihao Wang, Zekai Wang, Feng Yin, Junhua Zhao, Xiuqiang He",2024,ArXiv,arXiv:2401.03428v1,Policy|Planning|Exploration|DatasetGeneration|LanguageConditioning|MultiAgent|Architecture,"For Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as policy optimization RL, making the LLM function part of control, reward, or planning computations. Experiments on multi-agent coordination environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects uses a LLM planner to support RL policy learning and control in multi-agent coordination environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2401.03428v1,High,papers.csv|pdf_ref
On the Prospects of Incorporating Large Language Models (LLMs) in Automated Planning and Scheduling (APS),"Vishal Pallagani, Bharath Muppasani, Kaushik Roy, Francesco Fabiano, Andrea Loreggia, Keerthiram Murugesan, Biplav Srivastava, Francesca Rossi, Lior Horesh, Amit Sheth",2024,Proceedings of the International Conference on Automated Planning and Scheduling,10.1609/icaps.v34i1.31503,Policy|Planning|Verifier|MultiAgent|Architecture,"In this work, On the Prospects of Incorporating Large Language Models (LLMs) in Automated Planning and Scheduling (APS) uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is multi-agent RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on multi-agent coordination environments tasks, with improvements in success rate, returns, or sample efficiency.","On the Prospects of Incorporating Large Language Models (LLMs) in Automated Planning and Scheduling (APS) belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,openalex,https://openalex.org/W4399177300,High,citation_expand|papers.csv|pdf_ref
AutoWebGLM: A Large Language Model-based Web Navigating Agent,"Hanyu Lai, Xiao Liu, Iat Long Iong, Shuntian Yao, Yuxuan Chen, Pengbo Shen, Hao Yu, Hanchen Zhang, Xiaohan Zhang, Yuxiao Dong, Jie Tang",2024,ArXiv,arXiv:2404.03648v2,Policy|ToolUse|Curriculum|Architecture|AgentTraining,"AutoWebGLM: A Large Language Model-based Web Navigating Agent inserts a LLM world model/simulator directly into the RL loop. It studies model-based RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on web/navigation environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM world model/simulator within model-based RL on web/navigation environments tasks, as shown in AutoWebGLM: A Large Language Model-based Web Navigating Agent.",LLM_for_RL,arxiv,https://arxiv.org/abs/2404.03648v2,High,papers.csv|pdf_ref|targeted_search
Asynchronous Large Language Model Enhanced Planner for Autonomous Driving,"Yuan Chen, Zi-han Ding, Ziqin Wang, Yan Wang, Lijun Zhang, Si Liu",2024,ArXiv,arXiv:2406.14556v3,Planning|Exploration|ToolUse|Reasoning|Simulation|LanguageConditioning|Architecture,"For Asynchronous Large Language Model Enhanced Planner for Autonomous Driving, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as planning-augmented RL, making the LLM function part of control, reward, or planning computations. Experiments on web/tool-interaction environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: Asynchronous Large Language Model Enhanced Planner for Autonomous Driving uses a LLM planner to support RL policy learning and control in web/tool-interaction environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2406.14556v3,High,papers.csv|pdf_ref
Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks,"Murtaza Dalal, Tarun Chiruvolu, Devendra Chaplot, Ruslan Salakhutdinov",2024,ArXiv,arXiv:2405.01534v1,Policy|Planning|Simulation|Architecture,"In this work, Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is hierarchical/long-horizon RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on robotics manipulation/control tasks, with improvements in success rate, returns, or sample efficiency.","Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2405.01534v1,High,papers.csv|pdf_ref
ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL,"Yifei Zhou, Andrea Zanette, Jiayi Pan, Sergey Levine, Aviral Kumar",2024,ArXiv,arXiv:2402.19446v1,Policy|Reward|CreditAssignment|Verifier|LanguageConditioning|Architecture,"For ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL, an LLM reward module is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as policy optimization RL, making the LLM function part of control, reward, or planning computations. Experiments on web/navigation environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL uses a LLM reward module to support RL policy learning and control in web/navigation environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2402.19446v1,High,papers.csv|pdf_ref
WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,"Zehan Qi, Xiao Liu, Iat Long Iong, Hanyu Lai, Xueqiao Sun, Wenyi Zhao, Yu Yang, Xinyue Yang, Jiadai Sun, Shuntian Yao, Tianjie Zhang, Wei Xu, Jie Tang, Yuxiao Dong",2024,ArXiv,arXiv:2411.02337v3,Policy|Reward|ToolUse|Curriculum|Architecture|AgentTraining,"WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning inserts a LLM reward module directly into the RL loop. It studies tool-interactive RL agent training and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on web/navigation environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM reward module within tool-interactive RL agent training on web/navigation environments tasks, as shown in WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning.",LLM_for_RL,arxiv,https://arxiv.org/abs/2411.02337v3,High,papers.csv|targeted_search
SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models,"Shyam Sundar Kannan, Vishnunandan L. N. Venkatesh, Byung-Cheol Min",2023,ArXiv,arXiv:2309.10062v2,Policy|Planning|DatasetGeneration|Simulation|LanguageConditioning|MultiAgent|Architecture,"For SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as multi-agent RL, making the LLM function part of control, reward, or planning computations. Experiments on robotics manipulation/control environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models uses a LLM planner to support RL policy learning and control in robotics manipulation/control. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2309.10062v2,High,papers.csv|pdf_ref
Theory of Mind for Multi-Agent Collaboration via Large Language Models,"Huao Li, Chong Yu, Simon Stepputtis, Joseph Campbell, Dana Hughes, Charles Lewis, Katia Sycara",2023,Unknown venue,10.18653/v1/2023.emnlp-main.13,Policy|Planning|Exploration|Reasoning|MultiAgent|Architecture,"For Theory of Mind for Multi-Agent Collaboration via Large Language Models, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as multi-agent RL, making the LLM function part of control, reward, or planning computations. Experiments on Minecraft or game environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: Theory of Mind for Multi-Agent Collaboration via Large Language Models uses a LLM planner to support RL policy learning and control in Minecraft or game environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,openalex,https://openalex.org/W4389523767,High,papers.csv
Eureka: Human-Level Reward Design via Coding Large Language Models,"Yecheng Jason Ma, William Liang, Guanzhi Wang, De-An Huang, Osbert Bastani, Dinesh Jayaraman, Yuke Zhu, Linxi Fan, Anima Anandkumar",2023,ArXiv,arXiv:2310.12931v2,Planning|Reward|ToolUse|Simulation|Curriculum|LanguageConditioning|Architecture|HybridRL,"For Eureka: Human-Level Reward Design via Coding Large Language Models, an LLM reward module is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as reward-shaping RL, making the LLM function part of control, reward, or planning computations. Experiments on MuJoCo/simulator benchmarks environments indicate stronger task completion behavior than non-LLM baselines.",The contribution is directionally in-scope: Eureka: Human-Level Reward Design via Coding Large Language Models uses a LLM reward module to support RL policy learning and control in MuJoCo/simulator benchmarks.,LLM_for_RL,arxiv,https://arxiv.org/abs/2310.12931v2,High,papers.csv|pdf_ref|targeted_search
Guiding Pretraining in Reinforcement Learning with Large Language Models,"Yuqing Du, Olivia Watkins, Zihan Wang, Cédric Colas, Trevor Darrell, Pieter Abbeel, Abhishek Gupta, Jacob Andreas",2023,ArXiv,arXiv:2302.06692v2,Policy|Reward|Exploration|Simulation|LanguageConditioning|Architecture,"Guiding Pretraining in Reinforcement Learning with Large Language Models inserts a LLM reward module directly into the RL loop. It studies reward-shaping RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on robotics manipulation/control, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM reward module within reward-shaping RL on robotics manipulation/control tasks, as shown in Guiding Pretraining in Reinforcement Learning with Large Language Models. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2302.06692v2,High,papers.csv|pdf_ref
RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs,"Afra Feyza Akyürek, Ekin Akyürek, Aman Madaan, Ashwin Kalyan, Peter Clark, Derry Wijaya, Niket Tandon",2023,ArXiv,arXiv:2305.08844v2,Policy|Planning|DatasetGeneration|Verifier|LanguageConditioning|MultiAgent|Architecture,"RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs inserts a LLM planner directly into the RL loop. It studies multi-agent RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on multi-agent coordination environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within multi-agent RL on multi-agent coordination environments tasks, as shown in RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs.",LLM_for_RL,arxiv,https://arxiv.org/abs/2305.08844v2,High,papers.csv|pdf_ref
