Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Verification_Provider,Verification_URL,Verification_Confidence,Provenance
"Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods","Yuji Cao, Huan Zhao, Yuheng Cheng, Ting Shu, Yue Chen, Guolong Liu, Gaoqi Liang, Junhua Zhao, Jinyue Yan, Yun Li",2024,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2024.3497992,Policy|Planning|Reward|Simulation|Architecture,"In Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,openalex,https://openalex.org/W4393763811,High,papers.csv|pdf_ref
A Survey of Robot Intelligence with Large Language Models,"Hyeongyo Jeong, Haechan Lee, Changwon Kim, Sungtae Shin",2024,Applied Sciences,10.3390/app14198868,Planning|Reward|Exploration|DatasetGeneration|Simulation|LanguageConditioning|Architecture,"In A Survey of Robot Intelligence with Large Language Models, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","A Survey of Robot Intelligence with Large Language Models belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,openalex,https://openalex.org/W4403074774,High,citation_expand|papers.csv
Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks,"Murtaza Dalal, Tarun Chiruvolu, Devendra Chaplot, Ruslan Salakhutdinov",2024,ArXiv,arXiv:2405.01534v1,Policy|Planning|Simulation|Architecture,"In Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2405.01534v1,High,papers.csv|pdf_ref
Dense Reward for Free in Reinforcement Learning from Human Feedback,"Alex J. Chan, Hao Sun, Samuel Holt, Mihaela van der Schaar",2024,ArXiv,arXiv:2402.00782v1,Policy|Reward|ToolUse|LanguageConditioning|Architecture|HybridRL,"In Dense Reward for Free in Reinforcement Learning from Human Feedback, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Dense Reward for Free in Reinforcement Learning from Human Feedback belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2402.00782v1,High,papers.csv
AutoGPT+P: Affordance-based Task Planning with Large Language Models,"Timo Birr, Christoph Pohl, Abdelrahman Younes, Tamim Asfour",2024,ArXiv,arXiv:2402.10778v2,Policy|Planning|DatasetGeneration|Reasoning|LanguageConditioning|Architecture,"In AutoGPT+P: Affordance-based Task Planning with Large Language Models, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","AutoGPT+P: Affordance-based Task Planning with Large Language Models belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2402.10778v2,High,papers.csv|targeted_search
"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries","Manit Mishra, Abderrahman Braham, Charles Marsom, Bryan Chung, Gavin Griffin, Dakshesh Sidnerlikar, Chatanya Sarin, Arjun Rajaram",2024,ArXiv,arXiv:2404.00188v1,Policy|DatasetGeneration|Reasoning|LanguageConditioning|Architecture,"In DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries, the method integrates an LLM-guided policy module into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries belongs in scope because its language-conditioned policy module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2404.00188v1,High,papers.csv|pdf_ref|targeted_search
WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,"Zehan Qi, Xiao Liu, Iat Long Iong, Hanyu Lai, Xueqiao Sun, Wenyi Zhao, Yu Yang, Xinyue Yang, Jiadai Sun, Shuntian Yao, Tianjie Zhang, Wei Xu, Jie Tang, Yuxiao Dong",2024,ArXiv,arXiv:2411.02337v3,Policy|Reward|ToolUse|Curriculum|Architecture|AgentTraining,"In WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in web and tool-interaction tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning belongs in scope because its LLM reward/feedback module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2411.02337v3,High,papers.csv|targeted_search
ReST-MCTS*: LLM Self-Training via Process Reward Guided Tree Search,"Dan Zhang, Sining Zhoubian, Ziniu Hu, Yisong Yue, Yuxiao Dong, Jie Tang",2024,ArXiv,arXiv:2406.03816v3,Policy|Reward|Reasoning|TreeSearch|Verifier|Architecture,"In ReST-MCTS*: LLM Self-Training via Process Reward Guided Tree Search, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","ReST-MCTS*: LLM Self-Training via Process Reward Guided Tree Search belongs in scope because its LLM reward/feedback module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2406.03816v3,High,papers.csv
Theory of Mind for Multi-Agent Collaboration via Large Language Models,"Huao Li, Chong Yu, Simon Stepputtis, Joseph Campbell, Dana Hughes, Charles Lewis, Katia Sycara",2023,,10.18653/v1/2023.emnlp-main.13,Policy|Planning|Exploration|Reasoning|MultiAgent|Architecture,"In Theory of Mind for Multi-Agent Collaboration via Large Language Models, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets exploration and data collection efficiency for agents operating in game-like sequential decision tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Theory of Mind for Multi-Agent Collaboration via Large Language Models belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,openalex,https://openalex.org/W4389523767,High,papers.csv
Eureka: Human-Level Reward Design via Coding Large Language Models,"Yecheng Jason Ma, William Liang, Guanzhi Wang, De-An Huang, Osbert Bastani, Dinesh Jayaraman, Yuke Zhu, Linxi Fan, Anima Anandkumar",2023,ArXiv,arXiv:2310.12931v2,Planning|Reward|ToolUse|Simulation|Curriculum|LanguageConditioning|Architecture|HybridRL,"In Eureka: Human-Level Reward Design via Coding Large Language Models, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Eureka: Human-Level Reward Design via Coding Large Language Models belongs in scope because its LLM planner contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2310.12931v2,High,papers.csv|pdf_ref|targeted_search
Guiding Pretraining in Reinforcement Learning with Large Language Models,"Yuqing Du, Olivia Watkins, Zihan Wang, Cédric Colas, Trevor Darrell, Pieter Abbeel, Abhishek Gupta, Jacob Andreas",2023,ArXiv,arXiv:2302.06692v2,Policy|Reward|Exploration|Simulation|LanguageConditioning|Architecture,"In Guiding Pretraining in Reinforcement Learning with Large Language Models, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Guiding Pretraining in Reinforcement Learning with Large Language Models belongs in scope because its LLM reward/feedback module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2302.06692v2,High,papers.csv|pdf_ref
RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs,"Afra Feyza Akyürek, Ekin Akyürek, Aman Madaan, Ashwin Kalyan, Peter Clark, Derry Wijaya, Niket Tandon",2023,ArXiv,arXiv:2305.08844v2,Policy|Planning|DatasetGeneration|Verifier|LanguageConditioning|MultiAgent|Architecture,"In RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2305.08844v2,High,papers.csv|pdf_ref
Language Instructed Reinforcement Learning for Human-AI Coordination,"Hengyuan Hu, Dorsa Sadigh",2023,ArXiv,arXiv:2304.07297v2,Policy|Reward|LanguageConditioning|MultiAgent|Architecture,"In Language Instructed Reinforcement Learning for Human-AI Coordination, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Language Instructed Reinforcement Learning for Human-AI Coordination belongs in scope because its LLM reward/feedback module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2304.07297v2,High,papers.csv|pdf_ref
Do Embodied Agents Dream of Pixelated Sheep: Embodied Decision Making using Language Guided World Modelling,"Kolby Nottingham, Prithviraj Ammanabrolu, Alane Suhr, Yejin Choi, Hannaneh Hajishirzi, Sameer Singh, Roy Fox",2023,ArXiv,arXiv:2301.12050v2,Policy|Planning|WorldModel|Exploration|Simulation|Architecture,"In Do Embodied Agents Dream of Pixelated Sheep: Embodied Decision Making using Language Guided World Modelling, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets exploration and data collection efficiency for agents operating in game-like sequential decision tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Do Embodied Agents Dream of Pixelated Sheep: Embodied Decision Making using Language Guided World Modelling belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2301.12050v2,High,papers.csv|pdf_ref
Large Language Models as Generalizable Policies for Embodied Tasks,"Andrew Szot, Max Schwarzer, Harsh Agrawal, Bogdan Mazoure, Walter Talbott, Katherine Metcalf, Natalie Mackraz, Devon Hjelm, Alexander Toshev",2023,ArXiv,arXiv:2310.17722v2,Policy|LanguageConditioning|Architecture,"In Large Language Models as Generalizable Policies for Embodied Tasks, the method integrates an LLM-guided policy module into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Large Language Models as Generalizable Policies for Embodied Tasks belongs in scope because its language-conditioned policy module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2310.17722v2,High,papers.csv
Text2Reward: Reward Shaping with Language Models for Reinforcement Learning,"Tianbao Xie, Siheng Zhao, Chen Wu, Yitao Liu, Qian Luo, Victor W. Zhong, Yanchao Yang, Changyuan Yu",2023,arXiv (Cornell University),arXiv:2309.11489,Reward|ToolUse|Simulation|LanguageConditioning|Architecture,"In Text2Reward: Reward Shaping with Language Models for Reinforcement Learning, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Text2Reward: Reward Shaping with Language Models for Reinforcement Learning belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,openalex,https://openalex.org/W4386977020,High,papers.csv|pdf_ref
Plug-and-Play Policy Planner for Large Language Model Powered Dialogue Agents,"Yang Deng, Wenxuan Zhang, Wai Lam, See-Kiong Ng, Tat-Seng Chua",2023,ArXiv,arXiv:2311.00262v2,Policy|Planning|Simulation|LanguageConditioning|Architecture,"In Plug-and-Play Policy Planner for Large Language Model Powered Dialogue Agents, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in interactive RL tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Plug-and-Play Policy Planner for Large Language Model Powered Dialogue Agents belongs in scope because its LLM planner contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2311.00262v2,High,papers.csv|pdf_ref
Voyager: An Open-Ended Embodied Agent with Large Language Models,"Guanzhi Wang, Yuqi Xie, Yunfan Jiang, Ajay Mandlekar, Chaowei Xiao, Yuke Zhu, Linxi Fan, Anima Anandkumar",2023,ArXiv,arXiv:2305.16291v2,Policy|Exploration|ToolUse|Simulation|Curriculum|LanguageConditioning|Architecture,"In Voyager: An Open-Ended Embodied Agent with Large Language Models, the method integrates an LLM-guided policy module into the RL loop rather than using RL solely to tune an LLM. The approach targets exploration and data collection efficiency for agents operating in embodied robotic tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Voyager: An Open-Ended Embodied Agent with Large Language Models belongs in scope because its language-conditioned policy module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2305.16291v2,High,papers.csv|targeted_search
Online Decision Transformer,"Qinqing Zheng, Amy Zhang, Aditya Grover",2022,arXiv (Cornell University),arXiv:2202.05607,Exploration|DatasetGeneration|OfflineRL|Architecture,"In Online Decision Transformer, the method integrates an LLM-centered component into the RL loop rather than using RL solely to tune an LLM. The approach targets exploration and data collection efficiency for agents operating in offline RL benchmarks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Online Decision Transformer belongs in scope because its LLM component directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,openalex,https://openalex.org/W4226151089,High,papers.csv
