Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Evidence_Sources,Verification_URL
AudioRouter: Data Efficient Audio Understanding via RL based Dual Reasoning,"Liyang Chen, Hongkai Chen, Yujun Cai, Sifan Li, Qingwen Ye, Yiwei Wang",2026,ArXiv,arXiv:2602.10439v1,Policy|ToolUse|Reasoning|Architecture,"This work addresses Large Audio Language Models (LALMs) have demonstrated strong capabilities in audio understanding and reasoning. It proposes However, their performance on fine grained auditory perception remains unreliable, and existing approaches largely rely on data intensive training to internalize perceptual abilities. The evaluation reports that We propose AudioRouter, a reinforcement learning framework that enables LALMs to improve audio understanding by learning when and how to use external audio tools. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.10439v1
Beyond Imitation: Reinforcement Learning-Based Sim-Real Co-Training for VLA Models,"Liangzhi Shi, Shuaihang Chen, Feng Gao, Yinuo Chen, Kang Chen, Tonghe Zhang, Hongzhi Zang, Weinan Zhang, Chao Yu, Yu Wang",2026,ArXiv,arXiv:2602.12628v2,Policy|Simulation|Architecture,"This work addresses Simulation offers a scalable and low-cost way to enrich vision-language-action (VLA) training, reducing reliance on expensive real-robot demonstrations. It proposes However, most sim-real co-training methods rely on supervised fine-tuning (SFT), which treats simulation as a static source of demonstrations and does not exploit large-scale closed-loop interaction. The evaluation reports that We evaluate our framework on four real-world tabletop manipulation tasks using two representative VLA architectures, OpenVLA and $π_{0.5}$, and observe consistent improvements over real-only fine-tuning and SFT-based co-training, including +24% real-world success on OpenVLA and +20% on $π_{0.5}$. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.12628v2
BinaryPPO: Efficient Policy Optimization for Binary Classification,"Punya Syon Pandey, Zhijing Jin",2026,ArXiv,arXiv:2602.02708v1,Policy|Reward|DatasetGeneration|OfflineRL|ToolUse|Architecture,"This work addresses Supervised fine-tuning (SFT) is the standard approach for binary classification tasks such as toxicity detection, factuality verification, and causal inference. It proposes Supervised fine-tuning (SFT) is the standard approach for binary classification tasks such as toxicity detection, factuality verification, and causal inference. The evaluation reports that Across eight domain-specific benchmarks and multiple models with differing architectures, BinaryPPO improves accuracy by 40-60 percentage points, reaching up to 99%, substantially outperforming supervised baselines. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.02708v1
Building Autonomous GUI Navigation via Agentic-Q Estimation and Step-Wise Policy Optimization,"Yibo Wang, Guangda Huzhang, Yuwei Hu, Yu Xia, Shiyin Lu, Qing-Guo Chen, Zhao Xu, Weihua Luo, Kaifu Zhang, Lijun Zhang",2026,ArXiv,arXiv:2602.13653v1,Policy|Architecture,"This work addresses Recent advances in Multimodal Large Language Models (MLLMs) have substantially driven the progress of autonomous agents for Graphical User Interface (GUI). It proposes In this report, we introduce a novel MLLM-centered framework for GUI agents, which consists of two components: agentic-Q estimation and step-wise policy optimization. The evaluation reports that The former one aims to optimize a Q-model that can generate step-wise values to evaluate the contribution of a given action to task completion. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.13653v1
Calibrate-Then-Act: Cost-Aware Exploration in LLM Agents,"Wenxuan Ding, Nicholas Tomlin, Greg Durrett",2026,ArXiv,arXiv:2602.16699v1,Policy|Exploration|Verifier|Architecture,"This work addresses LLMs are increasingly being used for complex problems which are not necessarily resolved in a single response, but require interacting with an environment to acquire information. It proposes We introduce a framework called Calibrate-Then-Act (CTA), where we feed the LLM this additional context to enable it to act more optimally. The evaluation reports that This improvement is preserved even under RL training of both the baseline and CTA. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.16699v1
CAPER: Constrained and Procedural Reasoning for Robotic Scientific Experiments,"Jinghan Yang, Jingyi Hou, Xinbo Yu, Wei He, Yifan Wu",2026,ArXiv,arXiv:2602.09367v1,Policy|Planning|DatasetGeneration|Reasoning|Simulation|Architecture,"This work addresses Robotic assistance in scientific laboratories requires procedurally correct long-horizon manipulation, reliable execution under limited supervision, and robustness in low-demonstration regimes. It proposes We propose CAPER, a framework for Constrained And ProcEdural Reasoning for robotic scientific experiments, which explicitly restricts where learning and reasoning occur in the planning and control pipeline. The evaluation reports that Such conditions greatly challenge end-to-end vision-language-action (VLA) models, whose assumptions of recoverable errors and data-driven policy learning often break down in protocol-sensitive experiments. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.09367v1
Code2World: A GUI World Model via Renderable Code Generation,"Yuhao Zheng, Li'an Zhong, Yi Wang, Rui Dai, Kaikui Liu, Xiangxiang Chu, Linyuan Lv, Philip Torr, Kevin Qinghong Lin",2026,ArXiv,arXiv:2602.09856v1,Policy|Reward|WorldModel|Architecture,"This work addresses Autonomous GUI agents interact with environments by perceiving interfaces and executing actions. It proposes However, existing text- and pixel-based approaches struggle to simultaneously achieve high visual fidelity and fine-grained structural controllability. The evaluation reports that Extensive experiments demonstrate that Code2World-8B achieves the top-performing next UI prediction, rivaling the competitive GPT-5 and Gemini-3-Pro-Image. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.09856v1
CoLF: Learning Consistent Leader-Follower Policies for Vision-Language-Guided Multi-Robot Cooperative Transport,"Joachim Yann Despature, Kazuki Shibata, Takamitsu Matsubara",2026,ArXiv,arXiv:2602.07776v1,Policy|Simulation|LanguageConditioning|MultiAgent|Architecture|HybridRL,"This work addresses In this study, we address vision-language-guided multi-robot cooperative transport, where each robot grounds natural-language instructions from onboard camera observations. It proposes To address this challenge, we propose Consistent Leader-Follower (CoLF), a multi-agent reinforcement learning (MARL) framework for stable leader-follower role differentiation. The evaluation reports that We validate CoLF in both simulation and real-robot experiments using two quadruped robots. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.07776v1
Constraint-Rectified Training for Efficient Chain-of-Thought,"Qinhang Wu, Sen Lin, Ming Zhang, Yingbin Liang, Ness B. Shroff",2026,ArXiv,arXiv:2602.12526v1,Reward|Reasoning|LanguageConditioning|Architecture|HybridRL,"This work addresses Chain-of-Thought (CoT) has significantly enhanced the reasoning capabilities of Large Language Models (LLMs), especially when combined with reinforcement learning (RL) based post-training methods. It proposes Chain-of-Thought (CoT) has significantly enhanced the reasoning capabilities of Large Language Models (LLMs), especially when combined with reinforcement learning (RL) based post-training methods. The evaluation reports that While longer reasoning traces can improve answer quality and unlock abilities such as self-correction, they also incur high inference costs and often introduce redundant steps, known as overthinking. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.12526v1
Control Reinforcement Learning: Interpretable Token-Level Steering of LLMs via Sparse Autoencoder Features,"Seonglae Cho, Zekun Wu, Adriano Koshiyama",2026,ArXiv,arXiv:2602.10437v2,Policy|Verifier|Architecture,"This work addresses Sparse autoencoders (SAEs) decompose language model activations into interpretable features, but existing methods reveal only which features activate, not which change model outputs when amplified. It proposes Sparse autoencoders (SAEs) decompose language model activations into interpretable features, but existing methods reveal only which features activate, not which change model outputs when amplified. The evaluation reports that On Gemma 2 2B across MMLU, BBQ, GSM8K, HarmBench, and XSTest, CRL achieves improvements while providing per-token intervention logs. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.10437v2
CRL-VLA: Continual Vision-Language-Action Learning,"Qixin Zeng, Shuo Zhang, Hongyin Zhang, Renjie Wang, Han Zhao, Libang Zhao, Runze Li, Donglin Wang, Chao Huang",2026,ArXiv,arXiv:2602.03445v1,Policy|Simulation|Verifier|Architecture|HybridRL,"This work addresses Lifelong learning is critical for embodied agents in open-world environments, where reinforcement learning fine-tuning has emerged as an important paradigm to enable Vision-Language-Action (VLA) models to master dexterous manipulation through environmental interaction. It proposes Thus, Continual Reinforcement Learning (CRL) is a promising pathway for deploying VLA models in lifelong robotic scenarios, yet balancing stability (retaining old skills) and plasticity (learning new ones) remains a formidable challenge for existing methods. The evaluation reports that Experiments on the LIBERO benchmark demonstrate that CRL-VLA effectively harmonizes these conflicting objectives, outperforming baselines in both anti-forgetting and forward adaptation. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03445v1
Data-Centric Interpretability for LLM-based Multi-Agent Reinforcement Learning,"John Yan, Michael Yu, Yuqi Sun, Alexander Duffy, Tyler Marques, Matthew Lyle Olson",2026,ArXiv,arXiv:2602.05183v2,Policy|Reward|LanguageConditioning|MultiAgent|Architecture,"This work addresses Large language models (LLMs) are increasingly trained in complex Reinforcement Learning, multi-agent environments, making it difficult to understand how behavior changes over training. It proposes In this work, we analyze large-scale reinforcement learning training runs from the sophisticated environment of Full-Press Diplomacy by applying pretrained SAEs, alongside LLM-summarizer methods. The evaluation reports that We further provide validation by augmenting an untrained agent's system prompt, improving the score by +14.2%. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.05183v2
David vs. Goliath: Verifiable Agent-to-Agent Jailbreaking via Reinforcement Learning,"Samuel Nellessen, Tal Kachman",2026,ArXiv,arXiv:2602.02395v1,Policy|CreditAssignment|ToolUse|Verifier|LanguageConditioning|Architecture,"This work addresses The evolution of large language models into autonomous agents introduces adversarial failures that exploit legitimate tool privileges, transforming safety evaluation in tool-augmented environments from a subjective NLP task into an objective control problem. It proposes To validate this threat, we present Slingshot, a 'cold-start' reinforcement learning framework that autonomously discovers emergent attack vectors, revealing a critical insight: in our setting, learned attacks tend to converge to short, instruction-like syntactic patterns rather than multi-turn persuasion. The evaluation reports that On held-out extreme-difficulty tasks, Slingshot achieves a 67.0% success rate against a Qwen2.5-32B-Instruct-AWQ Operator (vs. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.02395v1
DCoPilot: Generative AI-Empowered Policy Adaptation for Dynamic Data Center Operations,"Minghao Li, Ruihang Wang, Rui Tan, Yonggang Wen",2026,ArXiv,arXiv:2602.02137v2,Policy|Reward|ToolUse|Simulation|Architecture,"This work addresses Modern data centers (DCs) hosting artificial intelligence (AI)-dedicated devices operate at high power densities with rapidly varying workloads, making minute-level adaptation essential for safe and energy-efficient operation. It proposes To bridge the gap, we present DCoPilot, a hybrid framework for generative control policies in dynamic DC operation. The evaluation reports that Evaluated across five control task families spanning diverse DC components, DCoPilot achieves near-zero constraint violations and outperforms all baselines across specification variations. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.02137v2
DFPO: Scaling Value Modeling via Distributional Flow towards Robust and Generalizable LLM Post-Training,"Dingwei Zhu, Zhiheng Xi, Shihan Dou, Jiahan Li, Chenhao Huang, Junjie Ye, Sixian Li, Mingxu Chai, Yuhui Wang, Yajie Yang, Ming Zhang, Jiazheng Zhang, Shichun Liu, Caishuang Huang, Yunke Zhang, Yuran Wang, Tao Gui, Xipeng Qiu, Qi Zhang, Xuanjing Huang",2026,ArXiv,arXiv:2602.05890v1,Policy|Reasoning|Architecture|HybridRL,"This work addresses Training reinforcement learning (RL) systems in real-world environments remains challenging due to noisy supervision and poor out-of-domain (OOD) generalization, especially in LLM post-training. It proposes Recent distributional RL methods improve robustness by modeling values with multiple quantile points, but they still learn each quantile independently as a scalar. The evaluation reports that Recent distributional RL methods improve robustness by modeling values with multiple quantile points, but they still learn each quantile independently as a scalar. It includes RL-agent improvements while also touching LLM post-training or alignment components.","The paper includes LLM post-training aspects, but it also introduces mechanisms that improve behavior of agents operating in RL-style interactive loops.",Mixed_but_relevant,arxiv|targeted_search,https://arxiv.org/abs/2602.05890v1
"Divide, Harmonize, Then Conquer It: Shooting Multi-Commodity Flow Problems with Multimodal Language Models","Xinyu Yuan, Yan Qiao, Zonghui Wang, Wenzhi Chen",2026,ArXiv,arXiv:2602.11057v1,Policy|DatasetGeneration|ToolUse|Reasoning|MultiAgent|Architecture,"This work addresses The multi-commodity flow (MCF) problem is a fundamental topic in network flow and combinatorial optimization, with broad applications in transportation, communication, and logistics, etc. It proposes In this paper, we present Pram, the first ML-based method that leverages the reasoning power of multimodal language models (MLMs) for addressing the trade-off dilemma -- a great need of service providers. The evaluation reports that The reported evaluations compare against baselines and analyze gains in interactive decision performance. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.11057v1
Dr. MAS: Stable Reinforcement Learning for Multi-Agent LLM Systems,"Lang Feng, Longtao Zheng, Shuo He, Fuxiang Zhang, Bo An",2026,ArXiv,arXiv:2602.08847v1,Policy|Reward|CreditAssignment|ToolUse|Reasoning|Verifier|MultiAgent|Architecture|HybridRL,"This work addresses Multi-agent LLM systems enable advanced reasoning and tool use via role specialization, yet reliable reinforcement learning (RL) post-training for such systems remains difficult. It proposes Based on this finding, we propose Dr. The evaluation reports that We evaluate Dr. It includes RL-agent improvements while also touching LLM post-training or alignment components.","The paper includes LLM post-training aspects, but it also introduces mechanisms that improve behavior of agents operating in RL-style interactive loops.",Mixed_but_relevant,arxiv|targeted_search,https://arxiv.org/abs/2602.08847v1
DynaWeb: Model-Based Reinforcement Learning of Web Agents,"Hang Ding, Peidong Liu, Junqiao Wang, Ziwei Ji, Meng Cao, Rongzhao Zhang, Lynn Ai, Eric Yang, Tianyu Shi, Lei Yu",2026,ArXiv,arXiv:2601.22149v1,Policy|WorldModel|DatasetGeneration|Architecture|AgentTraining,"This work addresses The development of autonomous web agents, powered by Large Language Models (LLMs) and reinforcement learning (RL), represents a significant step towards general-purpose AI assistants. It proposes This paper introduces DynaWeb, a novel MBRL framework that trains web agents through interacting with a web world model trained to predict naturalistic web page representations given agent actions. The evaluation reports that Beyond free policy rollouts, DynaWeb incorporates real expert trajectories from training data, which are randomly interleaved with on-policy rollouts during training to improve stability and sample efficiency. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-grounded world model in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.22149v1
EBPO: Empirical Bayes Shrinkage for Stabilizing Group-Relative Policy Optimization,"Kevin Han, Yuhang Zhou, Mingze Gao, Gedi Zhou, Serena Li, Abhishek Kumar, Xiangjun Fan, Weiwei Li, Lizhu Zhang",2026,ArXiv,arXiv:2602.05165v2,Policy|Reward|Exploration|Reasoning|Verifier|Curriculum|Architecture,"This work addresses Reinforcement Learning with Verifiable Rewards (RLVR) has proven effective for enhancing the reasoning capabilities of Large Language Models (LLMs). It proposes However, dominant approaches like Group Relative Policy Optimization (GRPO) face critical stability challenges: they suffer from high estimator variance under computational constraints (small group sizes) and vanishing gradient signals in saturated failure regimes where all responses yield identical zero rewards. The evaluation reports that Empirically, EBPO consistently outperforms GRPO and other established baselines across diverse benchmarks, including AIME and OlympiadBench. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.05165v2
ECHO-2: A Large-Scale Distributed Rollout Framework for Cost-Efficient Reinforcement Learning,"Jie Xiao, Meng Chen, Qingnan Ren, Jingwei Song, Jiaqi Huang, Yangshen Deng, Chris Tong, Wanyi Chen, Suli Wang, Ziqian Bi, Shuo Lu, Yiqun Duan, Xu Wang, Rymon Yu, Ween Yang, Lynn Ai, Eric Yang, Bill Shi",2026,ArXiv,arXiv:2602.02192v3,Policy|Reward|Verifier|MultiAgent|Architecture|HybridRL,"This work addresses Reinforcement learning (RL) is a critical stage in post-training large language models (LLMs), involving repeated interaction between rollout generation, reward evaluation, and centralized learning. It proposes We present ECHO-2, a distributed RL framework for post-training with remote inference workers and non-negligible dissemination latency. The evaluation reports that Experiments on GRPO post-training of 4B and 8B models under real wide-area bandwidth regimes show that ECHO-2 significantly improves cost efficiency while preserving RL reward comparable to strong baselines. It includes RL-agent improvements while also touching LLM post-training or alignment components.","The paper includes LLM post-training aspects, but it also introduces mechanisms that improve behavior of agents operating in RL-style interactive loops.",Mixed_but_relevant,arxiv|targeted_search,https://arxiv.org/abs/2602.02192v3
