Title,Authors,Year,Venue,ArXiv_or_DOI,Primary_Reason_Excluded,Verification_Provider,Verification_URL,Provenance
DFPO: Scaling Value Modeling via Distributional Flow towards Robust and Generalizable LLM Post-Training,"Dingwei Zhu, Zhiheng Xi, Shihan Dou, Jiahan Li, Chenhao Huang, Junjie Ye, Sixian Li, Mingxu Chai, Yuhui Wang, Yajie Yang, Ming Zhang, Jiazheng Zhang, Shichun Liu, Caishuang Huang, Yunke Zhang, Yuran Wang, Tao Gui, Xipeng Qiu, Qi Zhang, Xuanjing Huang",2026,arXiv (Cornell University),arXiv:2602.05890,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.05890,targeted_search
Dr. MAS: Stable Reinforcement Learning for Multi-Agent LLM Systems,"Lang Feng, Longtao Zheng, Shuo He, Fuxiang Zhang, Bo An",2026,ArXiv,arXiv:2602.08847v1,"Primary scope leak markers detected: GRPO, PPO_for_LLM, PostTraining",arxiv,https://arxiv.org/abs/2602.08847v1,papers.csv|targeted_search
Dr. MAS: Stable Reinforcement Learning for Multi-Agent LLM Systems,"Lang Feng, Longtao Zheng, Shuo He, Fuxiang Zhang, Bo An",2026,arXiv (Cornell University),arXiv:2602.08847,"Primary scope leak markers detected: GRPO, PPO_for_LLM, PostTraining",arxiv,https://arxiv.org/abs/2602.08847,papers.csv|targeted_search
DreamHome-Pano: Design-Aware and Conflict-Free Panoramic Interior Generation,"Lulu Chen, Yijiang Hu, Yuanqing Liu, Yulong Li, Yue Yang",2026,ArXiv,arXiv:2602.06494v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.06494v1,targeted_search
DriveFine: Refining-Augmented Masked Diffusion VLA for Precise and Robust Driving,"Chenxu Dang, Sining Ang, Yongkang Li, Haochen Tian, Jie Wang, Guang Li, Hangjun Ye, Jie Ma, Long Chen, Yan Wang",2026,ArXiv,arXiv:2602.14577v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.14577v1,targeted_search
Dynamic Long Context Reasoning over Compressed Memory via End-to-End Reinforcement Learning,"Zhuoen Chen, Dongfang Li, Meishan Zhang, Baotian Hu, Min Zhang",2026,ArXiv,arXiv:2602.08382v1,Primary scope leak markers detected: ImproveLLMReasoning,arxiv,https://arxiv.org/abs/2602.08382v1,targeted_search
EBPO: Empirical Bayes Shrinkage for Stabilizing Group-Relative Policy Optimization,"Kevin Han, Yuhang Zhou, Mingze Gao, Gedi Zhou, Serena Li, Abhishek Kumar, Xiangjun Fan, Weiwei Li, Lizhu Zhang",2026,ArXiv,arXiv:2602.05165v2,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.05165v2,targeted_search
ECHO-2: A Large-Scale Distributed Rollout Framework for Cost-Efficient Reinforcement Learning,"Jie Xiao, Meng Chen, Qingnan Ren, Jingwei Song, Jiaqi Huang, Yangshen Deng, Chris Tong, Wanyi Chen, Suli Wang, Ziqian Bi, Shuo Lu, Yiqun Duan, Xu Wang, Rymon Yu, Ween Yang, Lynn Ai, Eric Yang, Bill Shi",2026,ArXiv,arXiv:2602.02192v3,"Primary scope leak markers detected: GRPO, PostTraining",arxiv,https://arxiv.org/abs/2602.02192v3,pdf_ref|targeted_search
EMA Policy Gradient: Taming Reinforcement Learning for LLMs with EMA Anchor and Top-k KL,"Lunjun Zhang, Jimmy Ba",2026,ArXiv,arXiv:2602.04417v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.04417v1,targeted_search
Enhancing Cloud Network Resilience via a Robust LLM-Empowered Multi-Agent Reinforcement Learning Framework,"Yixiao Peng, Hao Hu, Feiyang Li, Xinye Cao, Yingchang Jiang, Jipeng Tang, Guoshun Nan, Yuling Liu",2026,ArXiv,arXiv:2601.07122v1,Primary scope leak markers detected: PPO_for_LLM,arxiv,https://arxiv.org/abs/2601.07122v1,targeted_search
Entropy-Gated Selective Policy Optimization:Token-Level Gradient Allocation for Hybrid Training of Large Language Models,"Yuelin Hu, Zhengxue Cheng, Wei Liu, Li Song",2026,ArXiv,arXiv:2602.03309v1,Primary scope leak markers detected: ImproveLLMReasoning,arxiv,https://arxiv.org/abs/2602.03309v1,papers.csv|pdf_ref|targeted_search
Evaluating an evidence-guided reinforcement learning framework in aligning light-parameter large language models with decision-making cognition in psychiatric clinical reasoning,"Xinxin Lin, Guangxin Dai, Yi Zhong, Xiang Li, Xue Xiao, Yixin Zhang, Zhengdong Wu, Yongbo Zheng, Runchuan Zhu, Ming Zhao, Huizi Yu, Shuo Wu, Jun Zhao, Lingming Hu, Yumei Wang, Ping Yin, Joey W. Y. Chan, Ngan Yin Chan, Sijing Chen, Yun Kwok Wing, Lin Lu, Xin Ma, Lizhou Fan",2026,ArXiv,arXiv:2602.06449v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.06449v1,papers.csv|pdf_ref|targeted_search
Evaluating an evidence-guided reinforcement learning framework in aligning light-parameter large language models with decision-making cognition in psychiatric clinical reasoning,"Xinxin Lin, Guangxin Dai, Yi Zhong, Xiang Li, Xue Xiao, Yixin Zhang, Zhengdong Wu, Yongbo Zheng, Runchuan Zhu, Ming Zhao, Huizi Yu, Shuo Wu, Jun Zhao, Lingming Hu, Yumei Wang, Ping Yin, Joey W. Y. Chan, Natalia Chan, Sijing Chen, Yun Kwok Wing, Lin Lu, Xin Ma, Lizhou Fan",2026,arXiv (Cornell University),arXiv:2602.06449,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.06449,papers.csv|pdf_ref|targeted_search
Evaluating and Rewarding LALMs for Expressive Role-Play TTS via Mean Continuation Log-Probability,"Yong Ren, Jingbei Li, Haiyang Sun, Yujie Chen, Cheng Yi, Yong Huang, Hao Gu, Ye Bai, Xuerui Yang",2026,ArXiv.org,arXiv:2601.22661,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2601.22661,targeted_search
Expanding the Capabilities of Reinforcement Learning via Text Feedback,"Yuda Song, Lili Chen, Fahim Tajwar, Remi Munos, Deepak Pathak, J. Andrew Bagnell, Aarti Singh, Andrea Zanette",2026,ArXiv,arXiv:2602.02482v2,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.02482v2,targeted_search
f-GRPO and Beyond: Divergence-Based Reinforcement Learning Algorithms for General LLM Alignment,"Rajdeep Haldar, Lantao Mei, Guang Lin, Yue Xing, Qifan Song",2026,ArXiv,arXiv:2602.05946v2,"Primary scope leak markers detected: GRPO, Alignment",arxiv,https://arxiv.org/abs/2602.05946v2,papers.csv|targeted_search
Fine-Tuning GPT-5 for GPU Kernel Generation,"Ali Tehrani, Yahya Emara, Essam Wissam, Wojciech Paluch, Waleed Atallah, Łukasz Dudziak, Mohamed S. Abdelfattah",2026,ArXiv,arXiv:2602.11000v1,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.11000v1,targeted_search
FMBench: Adaptive Large Language Model Output Formatting,"Yaoting Wang, Yun Zhou, Henghui Ding",2026,ArXiv,arXiv:2602.06384v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.06384v1,papers.csv|pdf_ref|targeted_search
ForgeryVCR: Visual-Centric Reasoning via Efficient Forensic Tools in MLLMs for Image Forgery Detection and Localization,"Youqi Wang, Shen Chen, Haowei Wang, Rongxuan Peng, Taiping Yao, Shunquan Tan, Changsheng Chen, Bin Li, Shouhong Ding",2026,ArXiv,arXiv:2602.14098v1,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.14098v1,targeted_search
Found-RL: foundation model-enhanced reinforcement learning for autonomous driving,"Yansong Qu, Zihao Sheng, Zilin Huang, Jiancong Chen, Yuhao Luo, Tianyi Wang, Yiheng Feng, Samuel Labi, Sikai Chen",2026,ArXiv,arXiv:2602.10458v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.10458v1,pdf_ref|targeted_search
Found-RL: foundation model-enhanced reinforcement learning for autonomous driving,"Yansong Qu, Zihao Sheng, Zilin Huang, Jiancong Chen, Yan Luo, Tianyi Wang, Yiheng Feng, Samuel Labi, Sikai Chen",2026,arXiv (Cornell University),arXiv:2602.10458,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.10458,pdf_ref|targeted_search
From Absolute to Relative: Rethinking Reward Shaping in Group-Based Reinforcement Learning,"Wenzhe Niu, Wei He, Zongxia Xie, Jinpeng Ou, Huichuan Fan, Yuchen Ge, Yanru Sun, Z.J. Wang, Yizhao Sun, Chengshun Shi, Jiuchong Gao, Jinghua Hao, Renqing He",2026,ArXiv.org,arXiv:2601.23058,"Primary scope leak markers detected: GRPO, ImproveLLMReasoning",arxiv,https://arxiv.org/abs/2601.23058,targeted_search
From SFT to RL: Demystifying the Post-Training Pipeline for LLM-based Vulnerability Detection,"Youpeng Li, Fuxun Yu, Xinda Wang",2026,ArXiv,arXiv:2602.14012v1,"Primary scope leak markers detected: DPO, GRPO, PreferenceOptimization, PostTraining",arxiv,https://arxiv.org/abs/2602.14012v1,targeted_search
General learned delegation by clones,"Darren Li, Meiqi Chen, Chenze Shao, Fandong Meng, Jie Zhou",2026,ArXiv,arXiv:2602.13262v1,Primary scope leak markers detected: ImproveLLMReasoning,arxiv,https://arxiv.org/abs/2602.13262v1,targeted_search
GenSeg-R1: RL-Driven Vision-Language Grounding for Fine-Grained Referring Segmentation,"Sandesh Hegde, Jaison Saji Chacko, Debarshi Banerjee, Uma Mahesh",2026,ArXiv,arXiv:2602.09701v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.09701v1,targeted_search
GeoEyes: On-Demand Visual Focusing for Evidence-Grounded Understanding of Ultra-High-Resolution Remote Sensing Imagery,"Fengxiang Wang, Mingshuo Chen, Yueying Li, Yajie Yang, Yifan Zhang, Long Lan, Xue Yang, Hongda Sun, Yulin Wang, Di Wang, Jun Song, Jing Zhang, Bo Du",2026,ArXiv,arXiv:2602.14201v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.14201v1,targeted_search
Goldilocks RL: Tuning Task Difficulty to Escape Sparse Rewards for Reasoning,"Ilia Mahrooghi, Aryo Lotfi, Emmanuel Abbe",2026,ArXiv,arXiv:2602.14868v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.14868v1,targeted_search
Graph Reasoning Paradigm: Structured and Symbolic Reasoning with Topology-Aware Reinforcement Learning for Large Language Models,"Runxuan Liu, Xianhao Ou, Xinyan Ma, Jiyuan Wang, Jiafeng Liang, Jiaqi Li, Tao He, Zheng Chu, Rong Mu, Zekun Wang, Baoxin Wang, Dayong Wu, Ming Chou Liu, Shijin Wang, Guoping Hu, Bing Qin",2026,arXiv (Cornell University),arXiv:2601.12995,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2601.12995,papers.csv|pdf_ref|targeted_search
iGRPO: Self-Feedback-Driven LLM Reasoning,"Ali Hatamizadeh, Shrimai Prabhumoye, Igor Gitman, Ximing Lu, Seungju Han, Wei Ping, Yejin Choi, Jan Kautz",2026,ArXiv,arXiv:2602.09000v1,"Primary scope leak markers detected: GRPO, ImproveLLMReasoning",arxiv,https://arxiv.org/abs/2602.09000v1,targeted_search
iGRPO: Self-Feedback-Driven LLM Reasoning,"Ali Hatamizadeh, Shrimai Prabhumoye, Igor Gitman, Ximing Lu, Seungju Han, Wei Ping, Yejin Choi, Jan Kautz",2026,arXiv (Cornell University),arXiv:2602.09000,"Primary scope leak markers detected: GRPO, ImproveLLMReasoning",arxiv,https://arxiv.org/abs/2602.09000,targeted_search
Implicit Strategic Optimization: Rethinking Long-Horizon Decision-Making in Adversarial Poker Environments,"Boyang Xia, Weiyou Tian, Qingnan Ren, Jiaqi Huang, Jie Xiao, Shuo Lu, Kai Wang, Lynn Ai, Eric Yang, Bill Shi",2026,ArXiv,arXiv:2602.08041v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.08041v1,targeted_search
Improving Data and Reward Design for Scientific Reasoning in Large Language Models,"Zijie Chen, Zhenghao Lin, Xiao Liu, Zhenzhong Lan, Yeyun Gong, Peng Cheng",2026,ArXiv,arXiv:2602.08321v2,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.08321v2,papers.csv|pdf_ref|targeted_search
Improving HPC Code Generation Capability of LLMs via Online Reinforcement Learning with Real-Machine Benchmark Rewards,"Ryo Mikasa, Shun-ichiro Hayashi, Daichi Mukunoki, Tetsuya Hoshino, Takahiro Katagiri",2026,ArXiv,arXiv:2602.12049v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.12049v1,targeted_search
In-Context Function Learning in Large Language Models,"Elif Akata, Konstantinos Voudouris, Vincent Fortuin, Eric Schulz",2026,ArXiv,arXiv:2602.11863v1,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.11863v1,papers.csv|pdf_ref|targeted_search
Jackpot: Optimal Budgeted Rejection Sampling for Extreme Actor-Policy Mismatch Reinforcement Learning,"Zhuoming Chen, Hongyi Liu, Yang Zhou, Haizhong Zheng, Beidi Chen",2026,ArXiv,arXiv:2602.06107v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.06107v1,targeted_search
Joint Continual Learning of Local Language Models and Cloud Offloading Decisions with Budget Constraints,"Evan C. Chen, Wenzhi Fang, Shiqiang Wang, Christopher Brinton",2026,arXiv (Cornell University),arXiv:2602.00166,"Primary scope leak markers detected: GRPO, PPO_for_LLM, PostTraining",arxiv,https://arxiv.org/abs/2602.00166,papers.csv|targeted_search
Joint Reward Modeling: Internalizing Chain-of-Thought for Efficient Visual Reward Models,"Yankai Yang, Yancheng Long, Hongyang Wei, Wei Chen, Tianke Zhang, Kaiyu Jiang, Haonan Fan, Changyi Liu, Jiankang Chen, Kaiyu Tang, Bin Wen, Fan Yang, Tingting Gao, Han Li, Shuo Yang",2026,ArXiv,arXiv:2602.07533v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.07533v1,targeted_search
Learning Generative Selection for Best-of-N,"Shubham Toshniwal, Aleksander Ficek, Siddhartha Jain, Wei Du, Vahid Noroozi, Sadegh Mahdavi, Somshubra Majumdar, Igor Gitman",2026,ArXiv,arXiv:2602.02143v1,Primary scope leak markers detected: ImproveLLMReasoning,arxiv,https://arxiv.org/abs/2602.02143v1,targeted_search
Learning to Deliberate: Meta-policy Collaboration for Agentic LLMs with Multi-agent Reinforcement Learning,"Association for Artificial Intelligence 2026, Jesse Thomason, Wei Yang",2026,Underline Science Inc.,10.48448/pbc0-7202,Primary scope leak markers detected: ImproveLLMReasoning,openalex,https://openalex.org/W7128696001,papers.csv|targeted_search
Learning User Interests via Reasoning and Distillation for Cross-Domain News Recommendation,"Mengdan Zhu, Yufan Zhao, Tao Di, Yulan Yan, Liang Zhao",2026,ArXiv,arXiv:2602.15005v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.15005v1,targeted_search
Length-Unbiased Sequence Policy Optimization: Revealing and Controlling Response Length Variation in RLVR,"Fanfan Liu, Youyang Yin, Peng Shi, Siqi Yang, Zhixiong Zeng, Haibo Qiu",2026,ArXiv,arXiv:2602.05261v1,"Primary scope leak markers detected: GRPO, ImproveLLMReasoning",arxiv,https://arxiv.org/abs/2602.05261v1,targeted_search
Likelihood-Based Reward Designs for General LLM Reasoning,"Ariel Kwiatkowski, Natasha Butt, Ismail Labiad, Julia Kempe, Yann Ollivier",2026,ArXiv,arXiv:2602.03979v1,Primary scope leak markers detected: ImproveLLMReasoning,arxiv,https://arxiv.org/abs/2602.03979v1,targeted_search
LLMOrbit: A Circular Taxonomy of Large Language Models -From Scaling Walls to Agentic AI Systems,"Badri N. Patro, Vijay S. Agneeswaran",2026,ArXiv,arXiv:2601.14053v1,"Primary scope leak markers detected: RLHF, DPO, GRPO, PostTraining",arxiv,https://arxiv.org/abs/2601.14053v1,papers.csv|pdf_ref|targeted_search
Long Chain-of-Thought Compression via Fine-Grained Group Policy Optimization,"Xinchen Han, Hossam Afifi, Michel Marot, Xilu Wang, Lu Yin",2026,ArXiv,arXiv:2602.10048v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.10048v1,targeted_search
