Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey
LLM Collaboration With Multi-Agent Reinforcement Learning,"Shuo Liu, Tianle Chen, Zeyu Liang, Xueguang Lyu, Christopher Amato",2025,ArXiv,10.48550/arxiv.2508.04652,Policy|Reward|CreditAssignment|MultiAgent|Architecture|HybridRL,"A large amount of work has been done in Multi-Agent Systems (MAS) for modeling and solving problems with multiple interacting agents. Existing LLM fine-tuning frameworks rely on individual rewards, which require complex reward designs for each agent to encourage collaboration. Our experiments on LLM writing and coding collaboration demonstrate that fine-tuning MAS with MAGRPO enables agents to generate high-quality responses efficiently through effective cooperation.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets credit assignment over long horizons, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Logic-RL: Unleashing LLM Reasoning with Rule-Based Reinforcement Learning,"Tian Xie, Zitian Gao, Qingnan Ren, Haoming Luo, Yuqian Hong, Bryan Dai, Joey Zhou, Kai Qiu, Zhirong Wu, Chong Luo",2025,ArXiv,10.48550/arxiv.2502.14768,Reward|Exploration|DatasetGeneration|Reasoning|LanguageConditioning|Architecture,"Remarkably, after training on just 5K logic problems, it demonstrates generalization abilities to the challenging math benchmarks AIME and AMC. Inspired by the success of DeepSeek-R1, we explore the potential of rule-based reinforcement learning (RL) in large reasoning models. This work studies Logic-RL: Unleashing LLM Reasoning with Rule-Based Reinforcement Learning in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,"Mengkang Hu, Yuhang Zhou, Wendong Fan, Yuzhou Nie, Bowei Xia, Tao Sun, Ziyu Ye, Zhaoxuan Jin, Yingru Li, Qiguang Chen, Zeyu Zhang, Yifeng Wang, Qianshuo Ye, Bernard Ghanem, Ping Luo, Guohao Li",2025,ArXiv,10.48550/arxiv.2505.23885,Policy|Planning|Reward|Verifier|MultiAgent|Architecture,"Large Language Model (LLM)-based multi-agent systems show promise for automating real-world tasks but struggle to transfer across domains due to their domain-specific nature. Current approaches face two critical shortcomings: they require complete architectural redesign and full retraining of all components when applied to new domains. This decoupling enables cross-domain transferability during both inference and training phases: During inference, Workforce seamlessly adapts to new domains by adding or modifying worker agents; For training, we introduce Optimized Workforce.","The paper places an LLM planner inside an RL training or execution loop. This directly targets reward quality for policy optimization, task planning for control, which fits an LLM-in-the-RL-loop survey scope."
ProRL: Prolonged Reinforcement Learning Expands Reasoning Boundaries in Large Language Models,"Mingjie Liu, Shizhe Diao, Ximing Lu, Jian Hu, Xin Dong, Yejin Choi, Jan Kautz, Yi Dong",2025,ArXiv,10.48550/arxiv.2505.24864,Policy|Planning|Reward|Exploration|Reasoning|Verifier|Architecture,"In this work, we challenge prevailing assumptions by demonstrating that prolonged RL (ProRL) training can uncover novel reasoning strategies that are inaccessible to base models, even under extensive sampling. Recent advances in reasoning-centric language models have highlighted reinforcement learning (RL) as a promising method for aligning models with verifiable rewards. However, it remains contentious whether RL truly expands a model's reasoning capabilities or merely amplifies high-reward outputs already latent in the base model's distribution, and whether continually scaling up RL compute reliably leads to.","The paper places an LLM planner inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
R1-Searcher: Incentivizing the Search Capability in LLMs via Reinforcement Learning,"Huatong Song, Jinhao Jiang, Yingqian Min, Jie Chen, Zhipeng Chen, Wayne Xin Zhao, Lei Fang, Ji-Rong Wen",2025,ArXiv,10.48550/arxiv.2503.05592,Reward|DatasetGeneration|Reasoning|Architecture,"While they achieve remarkable performance on challenging tasks such as mathematics and coding, they often rely on their internal knowledge to solve problems, which can be inadequate for time-sensitive or knowledge-intensive questions, leading to. To address this, we propose \textbf{R1-Searcher}, a novel two-stage outcome-based RL approach designed to enhance the search capabilities of LLMs. This work studies R1-Searcher: Incentivizing the Search Capability in LLMs via Reinforcement Learning in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Reasoning with Exploration: An Entropy Perspective,"Daixuan Cheng, Shaohan Huang, Xuekai Zhu, Bo Dai, Wayne Xin Zhao, Zhenliang Zhang, Furu Wei",2025,ArXiv,10.48550/arxiv.2506.14758,Exploration|Reasoning|Architecture,"Balancing exploration and exploitation is a central goal in reinforcement learning (RL). Despite recent advances in enhancing large language model (LLM) reasoning, most methods lean toward exploitation, and increasingly encounter performance plateaus. Notably, our method achieves significant gains on the Pass@K metric -- an upper-bound estimator of LLM reasoning capabilities -- even when evaluated with extremely large K values, pushing the boundaries of LLM reasoning.","The paper places an LLM inside an RL training or execution loop. This directly targets exploration efficiency, which fits an LLM-in-the-RL-loop survey scope."
ReSearch: Learning to Reason with Search for LLMs via Reinforcement Learning,"Mingyang Chen, Tianpeng Li, Haoze Sun, Yijie Zhou, Chenzheng Zhu, Haofen Wang, Jeff Z. Pan, Wen Zhang, Hua-zeng Chen, Fan Yang, Zenan Zhou, Weipeng Chen",2025,ArXiv,10.48550/arxiv.2503.19470,DatasetGeneration|Reasoning|Architecture,"We propose ReSearch, a novel framework that trains LLMs to Reason with Search via reinforcement learning without using any supervised data on reasoning steps. Large Language Models (LLMs) have shown remarkable capabilities in reasoning, exemplified by the success of OpenAI-o1 and DeepSeek-R1. This work studies ReSearch: Learning to Reason with Search for LLMs via Reinforcement Learning in the context of reinforcement learning with language-enabled models.","The paper places an LLM inside an RL training or execution loop. This directly targets agent performance in sequential decision tasks, which fits an LLM-in-the-RL-loop survey scope."
Right Question is Already Half the Answer: Fully Unsupervised LLM Reasoning Incentivization,"Qingyang Zhang, Haitao Wu, Changqing Zhang, Peilin Zhao, Yatao Bian",2025,ArXiv,10.48550/arxiv.2504.05812,Policy|Reward|Exploration|Reasoning|Verifier|Architecture|HybridRL,"By continuously minimizing the predictive entropy of LLMs on unlabeled questions in a latent semantic space, \ours achieves competitive performance compared to supervised counterparts on both mathematical and free-form natural reasoning tasks. Existing methods to enhance the reasoning capability of large language models predominantly rely on supervised fine-tuning (SFT) followed by reinforcement learning (RL) on reasoning-specific data. This work studies Right Question is Already Half the Answer: Fully Unsupervised LLM Reasoning Incentivization in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Search-R1: Training LLMs to Reason and Leverage Search Engines with Reinforcement Learning,"Bowen Jin, Hansi Zeng, Zhenrui Yue, Dong Wang, Hamed Zamani, Jiawei Han",2025,ArXiv,10.48550/arxiv.2503.09516,Reward|CreditAssignment|DatasetGeneration|ToolUse|Reasoning|LanguageConditioning|Architecture,"This paper introduces Search-R1, an extension of reinforcement learning (RL) for reasoning frameworks where the LLM learns to autonomously generate (multiple) search queries during step-by-step reasoning with real-time retrieval. Experiments on seven question-answering datasets show that Search-R1 improves performance by 41% (Qwen2.5-7B) and 20% (Qwen2.5-3B) over various RAG baselines under the same setting. This work studies Search-R1: Training LLMs to Reason and Leverage Search Engines with Reinforcement Learning in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets credit assignment over long horizons, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
The Surprising Effectiveness of Negative Reinforcement in LLM Reasoning,"Xinyu Zhu, Mengzhou Xia, Zhepei Wei, Wei-Lin Chen, Danqi Chen, Yu Meng",2025,ArXiv,10.48550/arxiv.2506.01347,Policy|Reward|DatasetGeneration|Reasoning|Verifier|Architecture,"Reinforcement learning with verifiable rewards (RLVR) is a promising approach for training language models (LMs) on reasoning tasks that elicit emergent long chains of thought (CoTs). We train Qwen2.5-Math-7B, Qwen3-4B and Llama-3.1-8B-Instruct on a mathematical reasoning dataset and uncover a surprising result: training with only negative samples -- without reinforcing correct responses -- can be highly effective: it. This work studies The Surprising Effectiveness of Negative Reinforcement in LLM Reasoning in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Tool-Star: Empowering LLM-Brained Multi-Tool Reasoner via Reinforcement Learning,"Guanting Dong, Yifei Chen, Xiaoxi Li, Jiajie Jin, Hongjin Qian, Yutao Zhu, Hangyu Mao, Guorui Zhou, Zhicheng Dou, Ji-Rong Wen",2025,ArXiv,10.48550/arxiv.2505.16410,Reward|Exploration|DatasetGeneration|ToolUse|Reasoning|Verifier|LanguageConditioning|Architecture|HybridRL,"However, leveraging the RL algorithm to empower effective multi-tool collaborative reasoning in LLMs remains an open challenge. Experimental analyses on over 10 challenging reasoning benchmarks highlight the effectiveness and efficiency of Tool-Star. This work studies Tool-Star: Empowering LLM-Brained Multi-Tool Reasoner via Reinforcement Learning in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
ToolRL: Reward is All Tool Learning Needs,"Cheng Qian, Emre Can Acikgoz, Qi He, Hongru Wang, Xiusi Chen, Dilek Hakkani-Tur, Gokhan Tur, Heng Ji",2025,ArXiv,10.48550/arxiv.2504.13958,Policy|Reward|Exploration|ToolUse|Reasoning|Verifier|Architecture|HybridRL,"Yet, reward design for tool use presents unique challenges: multiple tools may be invoked with diverse parameters, and coarse-grained reward signals, such as answer matching, fail to offer the finegrained feedback required for effective learning. In this work, we present the first comprehensive study on reward design for tool selection and application tasks within the RL paradigm. Empirical evaluations across diverse benchmarks demonstrate that our approach yields robust, scalable, and stable training, achieving a 17% improvement over base models and a 15% gain over SFT models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
ToRL: Scaling Tool-Integrated RL,"Xuefeng Li, Haoyang Zou, Pengfei Liu",2025,ArXiv,10.48550/arxiv.2503.23383,Reward|Exploration|ToolUse|Reasoning|Architecture|HybridRL,"We introduce ToRL (Tool-Integrated Reinforcement Learning), a framework for training large language models (LLMs) to autonomously use computational tools via reinforcement learning. Experiments with Qwen2.5-Math models show significant improvements: ToRL-7B reaches 43.3\% accuracy on AIME~24, surpassing reinforcement learning without tool integration by 14\% and the best existing Tool-Integrated Reasoning (TIR) model by 17\%. This work studies ToRL: Scaling Tool-Integrated RL in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Vision-R1: Incentivizing Reasoning Capability in Multimodal Large Language Models,"Wenxuan Huang, Bohan Jia, Zijie Zhai, Shaoshen Cao, Zheyu Ye, Fei Zhao, Zhe Xu, Yao Hu, Shaohui Lin",2025,ArXiv,10.48550/arxiv.2503.06749,Policy|Reward|Exploration|DatasetGeneration|Reasoning|Architecture,"To mitigate the optimization challenges caused by overthinking after cold start, we propose Progressive Thinking Suppression Training (PTST) strategy and employ Group Relative Policy Optimization (GRPO) with the hard formatting result reward. To address this issue, we propose the reasoning MLLM, Vision-R1, to improve multimodal reasoning capability. DeepSeek-R1-Zero has successfully demonstrated the emergence of reasoning capabilities in LLMs purely through Reinforcement Learning (RL).","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
VLM-R1: A Stable and Generalizable R1-style Large Vision-Language Model,"Haozhan Shen, Peng Liu, Jingcheng Li, Chunxin Fang, Yibo Ma, Jiajia Liao, Qiaoli Shen, Zilun Zhang, Kangjia Zhao, Qianqian Zhang, Ruochen Xu, Tiancheng Zhao",2025,ArXiv,10.48550/arxiv.2504.07615,Reward|Exploration|Reasoning|Architecture|HybridRL,"The core of R1 lies in its rule-based reward formulation, which leverages tasks with deterministic ground-truth answers to enable precise and stable reward computation. To this end, we develop VLM-R1, a dedicated framework designed to harness RL for improving VLMs' performance on general vision-language tasks. Recently DeepSeek R1 has shown that reinforcement learning (RL) can substantially improve the reasoning capabilities of Large Language Models (LLMs) through a simple yet effective design.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
ZeroSearch: Incentivize the Search Capability of LLMs without Searching,"Hao Sun, Zile Qiao, Jiayan Guo, Xuanbo Fan, Yingyan Hou, Yong Jiang, Pengjun Xie, Yan Zhang, Fei Huang, Jingren Zhou",2025,ArXiv,10.48550/arxiv.2505.04588,Exploration|ToolUse|Reasoning|Curriculum|LanguageConditioning|Architecture|HybridRL,"While these approaches show promising results, they face two major challenges: (1) Uncontrolled Document Quality: The quality of documents returned by search engines is often unpredictable, introducing noise and instability into the training process. Recent research has explored using reinforcement learning (RL) to improve LLMs' search capabilities by interacting with live search engines in real-world environments. This work studies ZeroSearch: Incentivize the Search Capability of LLMs without Searching in the context of reinforcement learning with language-enabled models.","The paper places an LLM inside an RL training or execution loop. This directly targets exploration efficiency, tool-interactive decision quality, which fits an LLM-in-the-RL-loop survey scope."
ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL,"Yifei Zhou, Andrea Zanette, Jiayi Pan, Sergey Levine, Aviral Kumar",2024,ArXiv,10.48550/arxiv.2402.19446,Policy|Reward|CreditAssignment|Verifier|LanguageConditioning|Architecture|HybridRL|AgentTraining,"A broad use case of large language models (LLMs) is in goal-directed decision-making tasks (or""agent""tasks), where an LLM needs to not just generate completions for a given prompt, but rather make intelligent decisions over a multi-turn interaction. Reinforcement learning (RL) provides a general paradigm to address such agent tasks, but current RL methods for LLMs largely focus on optimizing single-turn rewards. Empirically, we find that ArCHer significantly improves efficiency and performance on agent tasks, attaining a sample efficiency of about 100x over existing methods, while also improving with larger model capacity (upto the 7 billion scale that we.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets credit assignment over long horizons, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Can large language models explore in-context?,"Akshay Krishnamurthy, Keegan Harris, Dylan J. Foster, Cyril Zhang, Aleksandrs Slivkins",2024,ArXiv,10.48550/arxiv.2403.15371,Policy|Exploration|DatasetGeneration|Reasoning|LanguageConditioning|Architecture|HybridRL,"We investigate the extent to which contemporary Large Language Models (LLMs) can engage in exploration, a core capability in reinforcement learning and decision making. We conclude that non-trivial algorithmic interventions, such as fine-tuning or dataset curation, may be required to empower LLM-based decision making agents in complex settings. We experiment with GPT-3.5, GPT-4, and Llama2, using a variety of prompt designs, and find that the models do not robustly engage in exploration without substantial interventions: i) Across all of our experiments, only one configuration resulted in.","The paper places an language model policy inside an RL training or execution loop. This directly targets exploration efficiency, which fits an LLM-in-the-RL-loop survey scope."
DigiRL: Training In-The-Wild Device-Control Agents with Autonomous Reinforcement Learning,"Hao Bai, Yifei Zhou, Mert Cemri, Jiayi Pan, Alane Suhr, Sergey Levine, Aviral Kumar",2024,ArXiv,10.48550/arxiv.2406.11896,Policy|DatasetGeneration|OfflineRL|Curriculum|Architecture|HybridRL,"Training corpuses for vision language models (VLMs) typically lack sufficient amounts of decision-centric data. While training with static demonstrations has shown some promise, we show that such methods fall short for controlling real GUIs due to their failure to deal with real-world stochasticity and non-stationarity not captured in static observational. We demonstrate the effectiveness of DigiRL using the Android-in-the-Wild (AitW) dataset, where our 1.3B VLM trained with RL achieves a 49.5% absolute improvement -- from 17.7 to 67.2% success rate -- over supervised fine-tuning with static human.","The paper places an language model policy inside an RL training or execution loop. This directly targets offline policy learning, which fits an LLM-in-the-RL-loop survey scope."
Fine-Tuning Large Vision-Language Models as Decision-Making Agents via Reinforcement Learning,"Yuexiang Zhai, Hao Bai, Zipeng Lin, Jiayi Pan, Shengbang Tong, Yifei Zhou, Alane Suhr, Saining Xie, Yann LeCun, Yi Ma, Sergey Levine",2024,ArXiv,10.48550/arxiv.2405.10292,Policy|Reward|Exploration|Reasoning|LanguageConditioning|Architecture|HybridRL,"However, this fine-tuning paradigm may not be able to efficiently learn optimal decision-making agents in multi-step goal-directed tasks from interactive environments. To address this challenge, we propose an algorithmic framework that fine-tunes VLMs with reinforcement learning (RL). Empirically, we demonstrate that our proposed framework enhances the decision-making capabilities of VLM agents across various tasks, enabling 7b models to outperform commercial models such as GPT4-V or Gemini.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
