Raw_Title,Raw_ArXiv_or_DOI,Source,Issue,Notes
A Survey of Monte Carlo Tree Search Methods,10.1109/tciaig.2012.2186810,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey of Multi-Task Deep Reinforcement Learning,10.3390/electronics9091363,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey of Reinforcement Learning from Human Feedback,arXiv:2312.14925v3,papers.csv,Irrelevant_or_unclear_scope,Survey/review without direct RL-loop method contribution
A Survey of Reinforcement Learning Informed by Natural Language,10.24963/ijcai.2019/880,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey of Reinforcement Learning Informed by Natural Language,arXiv:1906.03926v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey of Visual Transformers,10.1109/tnnls.2022.3227717,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
A Survey of WebAgents: Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,10.1145/3711896.3736555,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
A Survey on Curriculum Learning,10.1109/tpami.2021.3069908,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
A survey on large language model based autonomous agents,10.1007/s11704-024-40231-1,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
A Survey on Multimodal Large Language Models for Autonomous Driving,10.1109/wacvw60836.2024.00106,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
"A Survey on Recent Advancements in Autonomous Driving Using Deep Reinforcement Learning: Applications, Challenges, and Solutions",10.1109/tits.2024.3452480,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey on the Memory Mechanism of Large Language Model based Agents,arXiv:2404.13501v1,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
A Unified Continual Learning Framework with General Parameter-Efficient Tuning,10.1109/iccv51070.2023.01055,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Very Brief and Critical Discussion on AutoML,arXiv:1811.03822,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
Abstractive Red-Teaming of Language Model Character,arXiv:2602.12318v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Accelerating Reinforcement Learning of Robotic Manipulations via Feedback from Large Language Models,arXiv:2311.02379,pdf_ref,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Accuracy-Aware MLLM Task Offloading and Resource Allocation in UAV-Assisted Satellite Edge Computing,10.3390/drones9070500,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Achieving Olympia-Level Geometry Large Language Model Agent via Complexity Boosting Reinforcement Learning,arXiv:2512.10534v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Active Example Selection for In-Context Learning,arXiv:2211.04486v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
AdaptiveGPT: Towards Intelligent Adaptive Learning,10.1007/s11042-024-20144-8,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
AdaReasoner: Dynamic Tool Orchestration for Iterative Visual Reasoning,arXiv:2601.18631v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Addressing Bias Through Ensemble Learning and Regularized Fine-Tuning,arXiv:2402.00910v2,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
ADEPT: RL-Aligned Agentic Decoding of Emotion via Evidence Probing Tools -- From Consensus Learning to Ambiguity-Driven Emotion Reasoning,arXiv:2602.12714v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Agent RL Scaling Law: Agent RL with Spontaneous Code Execution for Mathematical Problem Solving,arXiv:2505.07773v4,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
"Agent Skills for Large Language Models: Architecture, Acquisition, Security, and the Path Forward",arXiv:2602.12430v3,targeted_search,Irrelevant_or_unclear_scope,Survey/review without direct RL-loop method contribution
"Agent Skills for Large Language Models: Architecture, Acquisition, Security, and the Path Forward",arXiv:2602.12430,targeted_search,Irrelevant_or_unclear_scope,Survey/review without direct RL-loop method contribution
Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning,arXiv:2602.10090v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning,arXiv:2602.10090,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Agent-Omit: Training Efficient LLM Agents for Adaptive Thought and Observation Omission via Agentic Reinforcement Learning,arXiv:2602.04284v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
AgentCPM-Explore: Realizing Long-Horizon Deep Exploration for Edge-Scale Agents,arXiv:2602.06485v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
AgentCPM-Report: Interleaving Drafting and Deepening for Open-Ended Deep Research,arXiv:2602.06540v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
AgentFold: Long-Horizon Web Agents with Proactive Context Management,arXiv:2510.24699v1,prior_core,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Agentic AI: The age of reasoning-A review,10.1016/j.jai.2025.08.003,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents,arXiv:2601.01885v1,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Agentic Reasoning and Tool Integration for LLMs via Reinforcement Learning,arXiv:2505.01441v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
ALIVE: Awakening LLM Reasoning via Adversarial Learning and Instructive Verbal Evaluation,arXiv:2602.05472v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
An algorithm for planning collision-free paths among polyhedral obstacles,10.1145/359156.359164,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
An LLM-driven Framework for Multiple-Vehicle Dispatching and Navigation in Smart City Landscapes,10.1109/icra57147.2024.10610578,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Analyzing the impact of LLMs in Data Science lifecycle: a systematic mapping study,10.1007/s41060-026-01041-9,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
AnomSeer: Reinforcing Multimodal LLMs to Reason for Time-Series Anomaly Detection,arXiv:2602.08868v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Are More Tokens Rational? Inference-Time Scaling in Language Models as Adaptive Resource Rationality,arXiv:2602.10329v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
ArenaRL: Scaling RL for Open-Ended Agents via Tournament-based Relative Ranking,arXiv:2601.06487v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
ASTER: Agentic Scaling with Tool-integrated Extended Reasoning,arXiv:2602.01204v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
ASTER: Agentic Scaling with Tool-integrated Extended Reasoning,arXiv:2602.01204,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Asynchronous Large Language Model Enhanced Planner for Autonomous Driving,arXiv:2406.14556v3,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Attention Is All You Need,10.48550/arxiv.1706.03762,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning,arXiv:2602.13685v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Auto MC-Reward: Automated Dense Reward Design with Large Language Models for Minecraft,10.1109/cvpr52733.2024.01554,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Auto-Pytorch: Multi-Fidelity MetaLearning for Efficient and Robust AutoDL,10.1109/tpami.2021.3067763,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
Automated Planning and Acting,10.1017/cbo9781139583923,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
Autonomous chemical research with large language models,10.1038/s41586-023-06792-0,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
AutoTool: Dynamic Tool Selection and Integration for Agentic Reasoning,arXiv:2512.13278v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
AWPO: Enhancing Tool-Use of Large Language Models through Adaptive Integration of Reasoning Rewards,arXiv:2512.19126v3,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Balancing Faithfulness and Performance in Reasoning via Multi-Listener Soft Execution,arXiv:2602.16154v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,arXiv:1810.04805v2,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning,10.1016/s0004-3702(99)00052-1,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
Beyond AGI IV: Continuity of Intelligence,10.5281/zenodo.18655422,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond AGI IV: Continuity of Intelligence,10.5281/zenodo.18655421,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Correctness: Learning Robust Reasoning via Transfer,arXiv:2602.08489v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Correctness: Learning Robust Reasoning via Transfer,arXiv:2602.08489,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Correctness: Rewarding Faithful Reasoning in Retrieval-Augmented Generation,arXiv:2510.13272,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Imitation: Reinforcement Learning-Based Sim-Real Co-Training for VLA Models,arXiv:2602.12628v2,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Outcome Verification: Verifiable Process Reward Models for Structured Reasoning,arXiv:2601.17223,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Scalar Scores: Reinforcement Learning for Error-Aware Quality Estimation of Machine Translation,arXiv:2602.08600v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Scalar Scores: Reinforcement Learning for Error-Aware Quality Estimation of Machine Translation,arXiv:2602.08600,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Single-Shot: Multi-step Tool Retrieval via Query Planning,arXiv:2601.07782v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond SMILES: Evaluating Agentic Systems for Drug Discovery,arXiv:2602.10163v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Variance: Prompt-Efficient RLVR via Rare-Event Amplification and Bidirectional Pairing,arXiv:2602.03452v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Words: Evaluating and Bridging Epistemic Divergence in User-Agent Interaction via Theory of Mind,arXiv:2602.13832v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Beyond Words: Evaluating and Bridging Epistemic Divergence in User-Agent Interaction via Theory of Mind,arXiv:2602.13832,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Bias and Fairness in Large Language Models: A Survey,10.1162/coli_a_00524,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Bilevel Optimization for Covert Memory Tampering in Heterogeneous Multi-Agent Architectures (XAMT),arXiv:2512.15790v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
"BNAI, NO-TOKEN, and MIND-UNITY: Pillars of a Systemic Revolution in Artificial Intelligence",arXiv:2201.11903,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
Bootstrapping Object-Level Planning with Large Language Models,10.1109/icra55743.2025.11127365,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Building Autonomous GUI Navigation via Agentic-Q Estimation and Step-Wise Policy Optimization,arXiv:2602.13653v1,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Building Emotional Intelligence into Digital Therapy AI Agents through Neurofeedback,10.17863/cam.123923,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Calibrate-Then-Act: Cost-Aware Exploration in LLM Agents,arXiv:2602.16699v1,prior_core,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Can large language models explore in-context?,arXiv:2403.15371v3,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Can Multimodal Large Language Models Enhance Performance Benefits Among Higher Education Students? An Investigation Based on the Task-Technology Fit Theory and the Artificial Intelligence Device Use Acceptance Model,10.3390/su162310780,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Can Wikipedia Help Offline Reinforcement Learning?,arXiv:2201.12122,pdf_ref,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
"Cancer statistics, 2023",10.3322/caac.21763,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
CaStL: Constraints as Specifications Through Llm Translation for Long-Horizon Task and Motion Planning,10.1109/icra55743.2025.11127555,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
CC-NET: Image Complexity Guided Network Compression for Biomedical Image Segmentation,10.1109/isbi.2019.8759448,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
"Chasing Progress, Not Perfection: Revisiting Strategies for End-to-End LLM Plan Generation",10.1609/icaps.v35i1.36119,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
ChatGPT for Robotics: Design Principles and Model Abilities,10.1109/access.2024.3387941,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
ChatGPT Research Group for Optimizing the Crystallinity of MOFs and COFs,10.1021/acscentsci.3c01087,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Cloth grasp point detection based on multiple-view geometric cues with application to robotic towel folding,10.1109/robot.2010.5509439,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
CM2: Reinforcement Learning with Checklist Rewards for Multi-Turn and Multi-Step Agentic Tool Use,arXiv:2602.12268v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
CM2: Reinforcement Learning with Checklist Rewards for Multi-Turn and Multi-Step Agentic Tool Use,arXiv:2602.12268,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Code2World: A GUI World Model via Renderable Code Generation,arXiv:2602.09856v1,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Collaborating with language models for embodied reasoning,arXiv:2302.00763v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
CoLT: Reasoning with Chain of Latent Tool Calls,arXiv:2602.04246v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
CompassVerifier: A Unified and Robust Verifier for LLMs Evaluation and Outcome Reward,10.48448/83m7-vr90,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Competitive Programming with Large Reasoning Models,arXiv:2502.06807v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Composition-RL: Compose Your Verifiable Prompts for Reinforcement Learning of Large Language Models,arXiv:2602.12036v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Constrained Decision Transformer for Offline Safe Reinforcement Learning,arXiv:2302.07351,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Constraint-Rectified Training for Efficient Chain-of-Thought,arXiv:2602.12526v1,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Constraints Penalized Q-learning for Safe Offline Reinforcement Learning,10.1609/aaai.v36i8.20855,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Contextual Rollout Bandits for Reinforcement Learning with Verifiable Rewards,arXiv:2602.08499v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Control Reinforcement Learning: Interpretable Token-Level Steering of LLMs via Sparse Autoencoder Features,arXiv:2602.10437v2,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Cooperative Edge Caching with Large Language Model in Wireless Networks,arXiv:2602.13307v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
COptiDICE: Offline Constrained Reinforcement Learning via Stationary Distribution Correction Estimation,arXiv:2204.08957v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
CoRAL: Collaborative Retrieval-Augmented Large Language Models Improve Long-tail Recommendation,10.1145/3637528.3671901,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
CPMobius: Iterative Coach-Player Reasoning for Data-Free Reinforcement Learning,arXiv:2602.02979v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Credit Where It is Due: Cross-Modality Connectivity Drives Precise Reinforcement Learning for MLLM Reasoning,arXiv:2602.11455v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
CRL-VLA: Continual Vision-Language-Action Learning,arXiv:2602.03445v1,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Crossing the Reward Bridge: Expanding RL with Verifiable Rewards Across Diverse Domains,arXiv:2503.23829v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
CURL: Contrastive Unsupervised Representations for Reinforcement Learning,arXiv:2004.04136,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Curriculum learning,10.1145/1553374.1553380,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
D4RL: Datasets for Deep Data-Driven Reinforcement Learning,arXiv:2004.07219v4,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
DAPO: An Open-Source LLM Reinforcement Learning System at Scale,arXiv:2503.14476v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Data-Centric Interpretability for LLM-based Multi-Agent Reinforcement Learning,arXiv:2602.05183v2,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Data-Efficient Reinforcement Learning with Self-Predictive Representations,arXiv:2007.05929v4,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
DataChef: Cooking Up Optimal Data Recipes for LLM Adaptation via Reinforcement Learning,arXiv:2602.11089v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
David vs. Goliath: Verifiable Agent-to-Agent Jailbreaking via Reinforcement Learning,arXiv:2602.02395v1,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Decision Transformer: Reinforcement Learning via Sequence Modeling,arXiv:2106.01345,pdf_ref,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Deconstructing The Ethics of Large Language Models from Long-standing Issues to New-emerging Dilemmas: A Survey,arXiv:2406.05392v2,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Decoupling Representation Learning from Reinforcement Learning,arXiv:2009.08319,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Decoupling Skeleton and Flesh: Efficient Multimodal Table Reasoning with Disentangled Alignment and Structure-aware Guidance,arXiv:2602.03491v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Deductive Reinforcement Learning for Visual Autonomous Urban Driving Navigation,10.1109/tnnls.2021.3109284,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
"Deep learning, reinforcement learning, and world models",10.1016/j.neunet.2022.03.037,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Deep reinforcement learning with smooth policy update: Application to robotic cloth manipulation,10.1016/j.robot.2018.11.004,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
DeepPlanner: Scaling Planning Capability for Deep Research Agents via Advantage Shaping,arXiv:2510.12979,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Demystifying Long Chain-of-Thought Reasoning in LLMs,arXiv:2502.03373v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
DeRL: Coupling Decomposition in Action Space for Reinforcement Learning Task,10.1109/tetci.2023.3326551,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
DigiRL: Training In-The-Wild Device-Control Agents with Autonomous Reinforcement Learning,arXiv:2406.11896v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Discovery and Reinforcement of Tool-Integrated Reasoning Chains via Rollout Trees,arXiv:2601.08274v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",arXiv:1910.01108v4,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
"Divide, Harmonize, Then Conquer It: Shooting Multi-Commodity Flow Problems with Multimodal Language Models",arXiv:2602.11057v1,prior_core,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Division-of-Thoughts: Harnessing Hybrid Language Model Synergy for Efficient On-Device Agents,10.1145/3696410.3714765,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Document Reconstruction Unlocks Scalable Long-Context RLVR,arXiv:2602.08237v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?,arXiv:2504.13837v5,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Dota 2 with Large Scale Deep Reinforcement Learning,arXiv:1912.06680v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Dream to Control: Learning Behaviors by Latent Imagination,arXiv:1912.01603,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Drive Like a Human: Rethinking Autonomous Driving with Large Language Models,10.1109/wacvw60836.2024.00102,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Driving with LLMs: Fusing Object-Level Vector Modality for Explainable Autonomous Driving,10.1109/icra57147.2024.10611018,papers.csv,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
DT-HRL: Mastering Long-Sequence Manipulation with Reimagined Hierarchical Reinforcement Learning,10.3390/biomimetics10090577,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
Dual-View Visual Contextualization for Web Navigation,10.1109/cvpr52733.2024.01369,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
Dynamic Long Context Reasoning over Compressed Memory via End-to-End Reinforcement Learning,arXiv:2602.08382v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Dynamics of Manipulation Robots,10.1007/978-3-642-81854-7,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
ECG-R1: Protocol-Guided and Modality-Agnostic MLLM for Reliable ECG Interpretation,arXiv:2602.04279v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Efficient Adversarial Training in LLMs with Continuous Attacks,arXiv:2405.15589v3,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
Efficient Estimation of Kernel Surrogate Models for Task Attribution,arXiv:2602.03783v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Efficient Multi-Task Reinforcement Learning via Task-Specific Action Correction,arXiv:2404.05950v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Efficient Policy Adaptation with Contrastive Prompt Ensemble for Embodied Agents,arXiv:2412.11484,pdf_ref,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
Efficient Prompting via Dynamic In-Context Learning,arXiv:2305.11170v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
"Ego4D: Around the World in 3,000 Hours of Egocentric Video",10.1109/cvpr52688.2022.01842,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
ElecBench: a Power Dispatch Evaluation Benchmark for Large Language Models,arXiv:2407.05365v2,pdf_ref,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
ELLA: Exploration through Learned Language Abstraction,arXiv:2103.05825,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
