Title,Authors,Year,Venue,ArXiv_or_DOI,Primary_Reason_Excluded,Verification_Provider,Verification_URL,Provenance
Bridging Online and Offline RL: Contextual Bandit Learning for Multi-Turn Code Generation,"Ziru Chen, Dongdong Chen, Ruinan Jin, Yingbin Liang, Yujia Xie, Huan Sun",2026,arXiv (Cornell University),arXiv:2602.03806,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.03806,targeted_search
Can vision language models learn intuitive physics from interaction?,"Luca M. Schulze Buschoff, Konstantinos Voudouris, Can Demircan, Eric Schulz",2026,ArXiv,arXiv:2602.06033v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.06033v1,targeted_search
Capability-Oriented Training Induced Alignment Risk,"Yujun Zhou, Yue Huang, Han Bao, Kehan Guo, Zhenwen Liang, Pin-Yu Chen, Tian Gao, Werner Geyer, Nuno Moniz, Nitesh V Chawla, Xiangliang Zhang",2026,ArXiv,arXiv:2602.12124v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.12124v1,targeted_search
Chart Specification: Structural Representations for Incentivizing VLM Reasoning in Chart-to-Code Generation,"Minggui He, Mingchen Dai, Jian Zhang, Yilun Liu, Shimin Tao, Pufan Zeng, Osamu Yoshie, Yuya Ieiri",2026,ArXiv,arXiv:2602.10880v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.10880v1,targeted_search
Chatting with Images for Introspective Visual Thinking,"Junfei Wu, Jian Guan, Qiang Liu, Shu Wu, Liang Wang, Wei Wu, Tieniu Tan",2026,ArXiv,arXiv:2602.11073v2,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.11073v2,targeted_search
CoBA-RL: Capability-Oriented Budget Allocation for Reinforcement Learning in LLMs,"Zhiyuan Yao, Yi-Kai Zhang, Yuxin Chen, Yueqing Sun, Zishan Xu, Yu Yang, Tianhao Hu, Qi Gu, Hui Su, Xunliang Cai",2026,ArXiv,arXiv:2602.03048v3,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.03048v3,targeted_search
compar:IA: The French Government's LLM arena to collect French-language human prompts and preference data,"Lucie Termignon, Simonas Zilinskas, Hadrien Pélissier, Aurélien Barrot, Nicolas Chesnais, Elie Gavoty",2026,ArXiv.org,arXiv:2602.06669,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.06669,targeted_search
Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,"Yang Zhao, Yangou Ouyang, Xiao Ding, Hepeng Wang, Bibo Cai, Kai Xiong, Jinglong Gao, Zhouhao Sun, Li Du, Bing Qin, Ting Liu",2026,ArXiv,arXiv:2601.07224v1,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2601.07224v1,targeted_search
D-ORCA: Dialogue-Centric Optimization for Robust Audio-Visual Captioning,"Changli Tang, Tianyi Wang, Fengyun Rao, Jing Lyu, Chao Zhang",2026,ArXiv,arXiv:2602.07960v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.07960v1,targeted_search
daVinci-Dev: Agent-native Mid-training for Software Engineering,"Ji Zeng, Dayuan Fu, Tiantian Mi, Yumin Zhuang, Yaxing Huang, Xuefeng Li, Lyumanshan Ye, Muhang Xie, Qishuo Hua, Zhen Huang, Mohan Jiang, Hanning Wang, Jifan Lin, Yang Xiao, Jie Sun, Yunze Wu, Pengfei Liu",2026,arXiv (Cornell University),arXiv:2601.18418,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2601.18418,targeted_search
DFPO: Scaling Value Modeling via Distributional Flow towards Robust and Generalizable LLM Post-Training,"Dingwei Zhu, Zhiheng Xi, Shihan Dou, Jiahan Li, Chenhao Huang, Junjie Ye, Sixian Li, Mingxu Chai, Yuhui Wang, Yajie Yang, Ming Zhang, Jiazheng Zhang, Shichun Liu, Caishuang Huang, Yunke Zhang, Yuran Wang, Tao Gui, Xipeng Qiu, Qi Zhang, Xuanjing Huang",2026,ArXiv,arXiv:2602.05890v1,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.05890v1,prior_core|targeted_search
DFPO: Scaling Value Modeling via Distributional Flow towards Robust and Generalizable LLM Post-Training,"Dingwei Zhu, Zhiheng Xi, Shihan Dou, Jiahan Li, Chenhao Huang, Junjie Ye, Sixian Li, Mingxu Chai, Yuhui Wang, Yajie Yang, Ming Zhang, Jiazheng Zhang, Shichun Liu, Caishuang Huang, Yunke Zhang, Yuran Wang, Tao Gui, Xipeng Qiu, Qi Zhang, Xuanjing Huang",2026,arXiv (Cornell University),arXiv:2602.05890,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.05890,targeted_search
Do MLLMs Really See It: Reinforcing Visual Attention in Multimodal LLMs,"Siqu Ou, Tianrui Wan, Zhiyuan Zhao, Junyu Gao, Xuelong Li",2026,ArXiv,arXiv:2602.08241v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.08241v1,targeted_search
Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs,"Sagnik Mukherjee, Lifan Yuan, Pavan Jayasinha, Dilek Hakkani-Tür, Hao Peng",2026,ArXiv,arXiv:2602.07729v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.07729v1,targeted_search
Dr. MAS: Stable Reinforcement Learning for Multi-Agent LLM Systems,"Lang Feng, Longtao Zheng, Shuo He, Fuxiang Zhang, Bo An",2026,ArXiv,arXiv:2602.08847v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.08847v1,prior_core|targeted_search
Dr. MAS: Stable Reinforcement Learning for Multi-Agent LLM Systems,"Lang Feng, Longtao Zheng, Shuo He, Fuxiang Zhang, Bo An",2026,arXiv (Cornell University),arXiv:2602.08847,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.08847,targeted_search
DreamHome-Pano: Design-Aware and Conflict-Free Panoramic Interior Generation,"Lulu Chen, Yijiang Hu, Yuanqing Liu, Yulong Li, Yue Yang",2026,ArXiv,arXiv:2602.06494v1,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.06494v1,targeted_search
DriveFine: Refining-Augmented Masked Diffusion VLA for Precise and Robust Driving,"Chenxu Dang, Sining Ang, Yongkang Li, Haochen Tian, Jie Wang, Guang Li, Hangjun Ye, Jie Ma, Long Chen, Yan Wang",2026,ArXiv,arXiv:2602.14577v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.14577v1,targeted_search
DrugR: Optimizing Molecular Drugs through LLM-based Explicit Reasoning,"Haoran Liu, Zheni Zeng, Yukun Yan, Yuxuan Chen, Yunduo Xiao",2026,ArXiv,arXiv:2602.08213v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.08213v1,targeted_search
ECHO-2: A Large-Scale Distributed Rollout Framework for Cost-Efficient Reinforcement Learning,"Jie Xiao, Meng Chen, Qingnan Ren, Jingwei Song, Jiaqi Huang, Yangshen Deng, Chris Tong, Wanyi Chen, Suli Wang, Ziqian Bi, Shuo Lu, Yiqun Duan, Xu Wang, Rymon Yu, Ween Yang, Lynn Ai, Eric Yang, Bill Shi",2026,ArXiv,arXiv:2602.02192v3,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.02192v3,prior_core|targeted_search
EnvScaler: Scaling Tool-Interactive Environments for LLM Agent via Programmatic Synthesis,"Xiaoshuai Song, Haofei Chang, Guanting Dong, Yutao Zhu, Zhicheng Dou, Ji-Rong Wen",2026,ArXiv,arXiv:2601.05808v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2601.05808v1,targeted_search
Evaluating an evidence-guided reinforcement learning framework in aligning light-parameter large language models with decision-making cognition in psychiatric clinical reasoning,"Xinxin Lin, Guangxin Dai, Yi Zhong, Xiang Li, Xue Xiao, Yixin Zhang, Zhengdong Wu, Yongbo Zheng, Runchuan Zhu, Ming Zhao, Huizi Yu, Shuo Wu, Jun Zhao, Lingming Hu, Yumei Wang, Ping Yin, Joey W. Y. Chan, Ngan Yin Chan, Sijing Chen, Yun Kwok Wing, Lin Lu, Xin Ma, Lizhou Fan",2026,ArXiv,arXiv:2602.06449v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.06449v1,papers.csv|targeted_search
Evaluating an evidence-guided reinforcement learning framework in aligning light-parameter large language models with decision-making cognition in psychiatric clinical reasoning,"Xinxin Lin, Guangxin Dai, Yi Zhong, Xiang Li, Xue Xiao, Yixin Zhang, Zhengdong Wu, Yongbo Zheng, Runchuan Zhu, Ming Zhao, Huizi Yu, Shuo Wu, Jun Zhao, Lingming Hu, Yumei Wang, Ping Yin, Joey W. Y. Chan, Natalia Chan, Sijing Chen, Yun Kwok Wing, Lin Lu, Xin Ma, Lizhou Fan",2026,arXiv (Cornell University),arXiv:2602.06449,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.06449,papers.csv|targeted_search
Evaluating and Enhancing the Vulnerability Reasoning Capabilities of Large Language Models,"Li Lu, Yanjie Zhao, Hongzhou Rao, Kechi Zhang, Haoyu Wang",2026,ArXiv,arXiv:2602.06687v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.06687v1,papers.csv|targeted_search
Evaluating and Enhancing the Vulnerability Reasoning Capabilities of Large Language Models,"Li Lu, Yanjie Zhao, Hongzhou Rao, Kechi Zhang, Haoyu Wang",2026,ArXiv.org,arXiv:2602.06687,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.06687,papers.csv|targeted_search
Evaluating and Rewarding LALMs for Expressive Role-Play TTS via Mean Continuation Log-Probability,"Yong Ren, Jingbei Li, Haiyang Sun, Yujie Chen, Cheng Yi, Yong Huang, Hao Gu, Ye Bai, Xuerui Yang",2026,ArXiv.org,arXiv:2601.22661,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2601.22661,targeted_search
Expanding the Capabilities of Reinforcement Learning via Text Feedback,"Yuda Song, Lili Chen, Fahim Tajwar, Remi Munos, Deepak Pathak, J. Andrew Bagnell, Aarti Singh, Andrea Zanette",2026,ArXiv,arXiv:2602.02482v2,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.02482v2,targeted_search
f-GRPO and Beyond: Divergence-Based Reinforcement Learning Algorithms for General LLM Alignment,"Rajdeep Haldar, Lantao Mei, Guang Lin, Yue Xing, Qifan Song",2026,ArXiv,arXiv:2602.05946v2,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.05946v2,targeted_search
Fine-Tuning GPT-5 for GPU Kernel Generation,"Ali Tehrani, Yahya Emara, Essam Wissam, Wojciech Paluch, Waleed Atallah, Łukasz Dudziak, Mohamed S. Abdelfattah",2026,ArXiv,arXiv:2602.11000v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.11000v1,targeted_search
FMBench: Adaptive Large Language Model Output Formatting,"Yaoting Wang, Yun Zhou, Henghui Ding",2026,ArXiv,arXiv:2602.06384v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.06384v1,pdf_ref|targeted_search
ForgeryVCR: Visual-Centric Reasoning via Efficient Forensic Tools in MLLMs for Image Forgery Detection and Localization,"Youqi Wang, Shen Chen, Haowei Wang, Rongxuan Peng, Taiping Yao, Shunquan Tan, Changsheng Chen, Bin Li, Shouhong Ding",2026,ArXiv,arXiv:2602.14098v1,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.14098v1,targeted_search
GeoEyes: On-Demand Visual Focusing for Evidence-Grounded Understanding of Ultra-High-Resolution Remote Sensing Imagery,"Fengxiang Wang, Mingshuo Chen, Yueying Li, Yajie Yang, Yifan Zhang, Long Lan, Xue Yang, Hongda Sun, Yulin Wang, Di Wang, Jun Song, Jing Zhang, Bo Du",2026,ArXiv,arXiv:2602.14201v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.14201v1,targeted_search
Guided by Trajectories: Repairing and Rewarding Tool-Use Trajectories for Tool-Integrated Reasoning,"Siyu Gong, Linan Yue, Weibo Gao, Fangzhou Yao, Shimin Di, Lei Feng, Min-Ling Zhang",2026,ArXiv,arXiv:2601.23032v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2601.23032v1,targeted_search
Harmonizing Supervised Fine-Tuning and Reinforcement Learning with Reward-Based Sampling for Continual Machine Unlearning,"Jiaqi Lang, J. Zhao, Linjing Li, Daniel Dajun Zeng",2026,Electronics,10.3390/electronics15040771,RL used primarily to improve LLM behavior,openalex,https://openalex.org/W7128728085,targeted_search
iGRPO: Self-Feedback-Driven LLM Reasoning,"Ali Hatamizadeh, Shrimai Prabhumoye, Igor Gitman, Ximing Lu, Seungju Han, Wei Ping, Yejin Choi, Jan Kautz",2026,ArXiv,arXiv:2602.09000v1,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.09000v1,targeted_search
iGRPO: Self-Feedback-Driven LLM Reasoning,"Ali Hatamizadeh, Shrimai Prabhumoye, Igor Gitman, Ximing Lu, Seungju Han, Wei Ping, Yejin Choi, Jan Kautz",2026,arXiv (Cornell University),arXiv:2602.09000,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.09000,targeted_search
In-Context Function Learning in Large Language Models,"Elif Akata, Konstantinos Voudouris, Vincent Fortuin, Eric Schulz",2026,ArXiv,arXiv:2602.11863v1,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.11863v1,papers.csv|targeted_search
Joint Continual Learning of Local Language Models and Cloud Offloading Decisions with Budget Constraints,"Evan C. Chen, Wenzhi Fang, Shiqiang Wang, Christopher Brinton",2026,arXiv (Cornell University),arXiv:2602.00166,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.00166,targeted_search
Joint Reward Modeling: Internalizing Chain-of-Thought for Efficient Visual Reward Models,"Yankai Yang, Yancheng Long, Hongyang Wei, Wei Chen, Tianke Zhang, Kaiyu Jiang, Haonan Fan, Changyi Liu, Jiankang Chen, Kaiyu Tang, Bin Wen, Fan Yang, Tingting Gao, Han Li, Shuo Yang",2026,ArXiv,arXiv:2602.07533v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.07533v1,targeted_search
Knowledge is Not Enough: Injecting RL Skills for Continual Adaptation,"Pingzhi Tang, Yiding Wang, Muhan Zhang",2026,ArXiv,arXiv:2601.11258v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2601.11258v1,targeted_search
Learning Generative Selection for Best-of-N,"Shubham Toshniwal, Aleksander Ficek, Siddhartha Jain, Wei Du, Vahid Noroozi, Sadegh Mahdavi, Somshubra Majumdar, Igor Gitman",2026,ArXiv,arXiv:2602.02143v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.02143v1,targeted_search
MAPLE: Modality-Aware Post-training and Learning Ecosystem,"Nikhil Verma, Minjung Kim, JooYoung Yoo, Kyung-Min Jin, Manasa Bharadwaj, Kevin Ferreira, Ko Keun Kim, Youngjoon Kim",2026,ArXiv,arXiv:2602.11596v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.11596v1,targeted_search
Med3D-R1: Incentivizing Clinical Reasoning in 3D Medical Vision-Language Models for Abnormality Diagnosis,"Haoran Lai, Zihang Jiang, Kun Zhang, Qingsong Yao, Rongsheng Wang, Zhiyang He, Xiaodong Tao, Wei Wei, Shaohua Kevin Zhou",2026,ArXiv,arXiv:2602.01200v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.01200v1,targeted_search
MedMO: Grounding and Understanding Multimodal Large Language Model for Medical Images,"Ankan Deria, Komal Kumar, Adinath Madhavrao Dukre, Eran Segal, Salman Khan, Imran Razzak",2026,ArXiv,arXiv:2602.06965v1,Primarily RL-for-LLM alignment/fine-tuning content,arxiv,https://arxiv.org/abs/2602.06965v1,pdf_ref|targeted_search
Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling,"Zhibin Duan, Guowei Rong, Zhuo Li, Bo Chen, Mingyuan Zhou, Dandan Guo",2026,ArXiv,arXiv:2602.10623v1,Primarily RL-for-LLM alignment/fine-tuning content,arxiv,https://arxiv.org/abs/2602.10623v1,targeted_search
Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling,"Zhibin Duan, Guo-wei Rong, Zhuo Li, Bo CHEN, Mingyuan Zhou, Dandan Guo",2026,arXiv (Cornell University),arXiv:2602.10623,Primarily RL-for-LLM alignment/fine-tuning content,arxiv,https://arxiv.org/abs/2602.10623,targeted_search
Mitigating the Safety-utility Trade-off in LLM Alignment via Adaptive Safe Context Learning,"Yanbo Wang, Minzheng Wang, Jian Liang, Lu Wang, Yongcan Yu, Ran He",2026,ArXiv,arXiv:2602.13562v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.13562v1,targeted_search
Multi-Task GRPO: Reliable LLM Reasoning Across Tasks,"Shyam Sundhar Ramesh, Xiaotong Ji, Matthieu Zimmer, Sangwoong Yoon, Zhiyong Wang, Haitham Bou Ammar, Aurelien Lucchi, Ilija Bogunovic",2026,ArXiv,arXiv:2602.05547v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.05547v1,targeted_search
"Nanbeige4.1-3B: A Small General Model that Reasons, Aligns, and Acts","Chen Yang, Guangyue Peng, Jiaying Zhu, Ran Le, Ruixiang Feng, Tao Zhang, Xiyun Xu, Yang Song, Yiming Jia, Yuntao Wen, Yunzhi Xu, Zekai Wang, Zhenwei An, Zhicong Sun, Zongchao Chen",2026,ArXiv,arXiv:2602.13367v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.13367v1,pdf_ref|targeted_search
Not All Negative Samples Are Equal: LLMs Learn Better from Plausible Reasoning,"Zixiang Di, Jinyi Han, Shuo Zhang, Ying Liao, Zhi Li, Xiaofeng Ji, Yongqi Wang, Zheming Yang, Ming Gao, Bingdong Li, Jie Wang",2026,ArXiv,arXiv:2602.03516v2,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.03516v2,targeted_search
Not All Negative Samples Are Equal: LLMs Learn Better from Plausible Reasoning,"Zixiang Di, Han Jiang, Shuo Zhang, Ying Liao, Zhi Li, Xiaofeng Ji, Yongqi Wang, Zheming Yang, Ming Gao, Bingdong Li, Jie Wang",2026,arXiv (Cornell University),arXiv:2602.03516,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.03516,targeted_search
On Robustness and Chain-of-Thought Consistency of RL-Finetuned VLMs,"Rosie Zhao, Anshul Shah, Xiaoyu Zhu, Xinke Deng, Zhongyu Jiang, Yang Yang, Joerg Liebelt, Arnab Mondal",2026,ArXiv,arXiv:2602.12506v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.12506v1,targeted_search
Open Rubric System: Scaling Reinforcement Learning with Pairwise Adaptive Rubric,"Ruipeng Jia, Yunyi Yang, Yuxin Wu, Yongbo Gai, Siyuan Tao, Mengyu Zhou, Jianhe Lin, Xiaoxi Jiang, Guanjun Jiang",2026,ArXiv,arXiv:2602.14069v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.14069v1,targeted_search
P-GenRM: Personalized Generative Reward Model with Test-time User-based Scaling,"Pinyi Zhang, Ting-En Lin, Yuchuan Wu, Jingyang Chen, Zongqi Wang, Hua Yang, Ze Xu, Fei Huang, Kai Zhang, Yongbin Li",2026,ArXiv,arXiv:2602.12116v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.12116v1,pdf_ref|targeted_search
P1-VL: Bridging Visual Perception and Scientific Reasoning in Physics Olympiads,"Yun Luo, Futing Wang, Qianjia Cheng, Fangchen Yu, Haodi Lei, Jianhao Yan, Chenxi Li, Jiacheng Chen, Yufeng Zhao, Haiyuan Wan, Yuchen Zhang, Shenghe Zheng, Junchi Yao, Qingyang Zhang, Haonan He, Wenxuan Zeng, Li Sheng, Chengxing Xie, Yuxin Zuo, Yizhuo Li, Yulun Wu, Rui Huang, Dongzhan Zhou, Kai Chen, Yu Qiao, Lei Bai, Yu Cheng, Ning Ding, Bowen Zhou, Peng Ye, Ganqu Cui",2026,ArXiv,arXiv:2602.09443v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.09443v1,prior_core|targeted_search
Patch the Distribution Mismatch: RL Rewriting Agent for Stable Off-Policy SFT,"Jiacheng Wang, Ping Jian, Zhen Yang, Zirong Chen, Keren Liao, Zhongbin Guo",2026,ArXiv,arXiv:2602.11220v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.11220v1,targeted_search
PISCES: Annotation-free Text-to-Video Post-Training via Optimal Transport-Aligned Rewards,"Minh-Quan Le, Gaurav Mittal, Cheng Zhao, David Gu, Dimitris Samaras, Mei Chen",2026,ArXiv,arXiv:2602.01624v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.01624v1,targeted_search
Process-Supervised Multi-Agent Reinforcement Learning for Reliable Clinical Reasoning,"Chaeeun Lee, T. Michael Yates, Pasquale Minervini, T. Ian Simpson",2026,ArXiv,arXiv:2602.14160v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.14160v1,prior_core|targeted_search
Process-Supervised Multi-Agent Reinforcement Learning for Reliable Clinical Reasoning,"Chaeeun Lee, T. Michael Yates, Pasquale Minervini, T. Ian Simpson",2026,arXiv (Cornell University),arXiv:2602.14160,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.14160,targeted_search
Prompt Augmentation Scales up GRPO Training on Mathematical Reasoning,"Wenquan Lu, Hai Huang, Randall Balestriero",2026,ArXiv,arXiv:2602.03190v2,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.03190v2,targeted_search
Pushing Forward Pareto Frontiers of Proactive Agents with Behavioral Agentic Optimization,"Yihang Yao, Zhepeng Cen, Haohong Lin, Shiqi Liu, Zuxin Liu, Jiacheng Zhu, Zhang-Wei Hong, Laixi Shi, Ding Zhao",2026,ArXiv,arXiv:2602.11351v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.11351v1,targeted_search
Pushing Forward Pareto Frontiers of Proactive Agents with Behavioral Agentic Optimization,"Yihang Yao, Zhepeng Cen, Haohong Lin, Shiqi Liu, Zuxin Liu, Jiacheng Zhu, Zhang-Wei Hong, Laixi Shi, Ding Zhao",2026,ArXiv.org,arXiv:2602.11351,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.11351,targeted_search
QP-OneModel: A Unified Generative LLM for Multi-Task Query Understanding in Xiaohongshu Search,"Jianzhao Huang, Xiaorui Huang, Fei Zhao, Yunpeng Liu, Hui Zhang, Fangcheng Shi, Congfeng Li, Zechen Sun, Yi Wu, Yao Hu, Yunhan Bai, Shaosheng Cao",2026,ArXiv,arXiv:2602.09901v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.09901v1,targeted_search
