Title,Authors,Year,Venue,ArXiv_or_DOI,Why_Borderline,Verification_Provider,Verification_URL,Provenance
CoLT: Reasoning with Chain of Latent Tool Calls,"Fangwei Zhu, Zhifang Sui",2026,ArXiv,arXiv:2602.04246v1,"Insufficient concrete detail for summary (role=LLM verifier/critic, setting=policy optimization RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.04246v1,targeted_search
Control Reinforcement Learning: Interpretable Token-Level Steering of LLMs via Sparse Autoencoder Features,"Seonglae Cho, Zekun Wu, Adriano Koshiyama",2026,ArXiv,arXiv:2602.10437v2,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.10437v2,targeted_search
Cooperative Edge Caching with Large Language Model in Wireless Networks,"Ning Yang, Wentao Wang, Lingtao Ouyang, Haijun Zhang",2026,ArXiv,arXiv:2602.13307v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.13307v1,papers.csv|pdf_ref|targeted_search
CPMobius: Iterative Coach-Player Reasoning for Data-Free Reinforcement Learning,"Ran Li, Zeyuan Liu, Yinghao chen, Bingxiang He, Jiarui Yuan, Zixuan Fu, Weize Chen, Jinyi Hu, Zhiyuan Liu, Maosong Sun",2026,ArXiv,arXiv:2602.02979v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.02979v1,targeted_search
Credit Where It is Due: Cross-Modality Connectivity Drives Precise Reinforcement Learning for MLLM Reasoning,"Zhengbo Jiao, Shaobo Wang, Zifan Zhang, Wei Wang, Bing Zhao, Hu Wei, Linfeng Zhang",2026,ArXiv,arXiv:2602.11455v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.11455v1,targeted_search
Data-Centric Interpretability for LLM-based Multi-Agent Reinforcement Learning,"John Yan, Michael Yu, Yuqi Sun, Alexander Duffy, Tyler Marques, Matthew Lyle Olson",2026,ArXiv,arXiv:2602.05183v2,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.05183v2,papers.csv|targeted_search
"Divide, Harmonize, Then Conquer It: Shooting Multi-Commodity Flow Problems with Multimodal Language Models","Xinyu Yuan, Yan Qiao, Zonghui Wang, Wenzhi Chen",2026,ArXiv,arXiv:2602.11057v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.11057v1,papers.csv|targeted_search
Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs,"Sagnik Mukherjee, Lifan Yuan, Pavan Jayasinha, Dilek Hakkani-Tür, Hao Peng",2026,ArXiv,arXiv:2602.07729v1,"Insufficient concrete detail for summary (role=LLM reward module, setting=reward-shaping RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.07729v1,targeted_search
Efficient and Stable Reinforcement Learning for Diffusion Language Models,"Jiawei Liu, Xiting Wang, Yuanyuan Zhong, Defu Lian, Yu Yang",2026,ArXiv,arXiv:2602.08905v1,"Insufficient concrete detail for summary (role=LLM-guided policy component, setting=policy optimization RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.08905v1,papers.csv|pdf_ref|targeted_search
EventMemAgent: Hierarchical Event-Centric Memory for Online Video Understanding with Adaptive Tool Use,"Siwei Wen, Zhangcheng Wang, Xingjian Zhang, Lei Huang, Wenjun Wu",2026,ArXiv,arXiv:2602.15329v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.15329v1,targeted_search
Features as Rewards: Scalable Supervision for Open-Ended Tasks via Interpretability,"Aaditya Vikram Prasad, Connor Watts, Jack Merullo, Dhruvil Gala, Owen Lewis, Thomas McGrath, Ekdeep Singh Lubana",2026,ArXiv,arXiv:2602.10067v3,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.10067v3,targeted_search
Flexible Entropy Control in RLVR with Gradient-Preserving Perspective,"Kun Chen, Peng Shi, Fanfan Liu, Haibo Qiu, Zhixiong Zeng, Siqi Yang, Wenji Mao",2026,ArXiv,arXiv:2602.09782v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.09782v1,targeted_search
From Pixels to Policies: Reinforcing Spatial Reasoning in Language Models for Content-Aware Layout Design,"Sha Li, Stefano Petrangeli, Yu Shen, Xiang Chen",2026,ArXiv,arXiv:2602.13912v2,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.13912v2,papers.csv|targeted_search
Gaia2: Benchmarking LLM Agents on Dynamic and Asynchronous Environments,"Romain Froger, Pierre Andrews, Matteo Bettini, Amar Budhiraja, Ricardo Silveira Cabral, Virginie Do, Emilien Garreau, Jean-Baptiste Gaya, Hugo Laurençon, Maxime Lecanu, Kunal Malkan, Dheeraj Mekala, Pierre Ménard, Gerard Moreno-Torres Bertran, Ulyana Piterbarg, Mikhail Plekhanov, Mathieu Rita, Andrey Rusakov, Vladislav Vorotilov, Mengjue Wang, Ian Yu, Amine Benhalloum, Grégoire Mialon, Thomas Scialom",2026,ArXiv,arXiv:2602.11964v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.11964v1,targeted_search
Guided Verifier: Collaborative Multimodal Reasoning via Dynamic Process Supervision,"Lingzhuang Sun, Ruitong Liu, Yuxia Zhu, Xiaohan Xu, Jingxuan Wei, Xiangxiang Zhang, Bihui Yu, Wentao Zhang",2026,ArXiv,arXiv:2602.04290v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.04290v1,targeted_search
High Fidelity Textual User Representation over Heterogeneous Sources via Reinforcement Learning,"Rajat Arora, Ye Tao, Jianqiang Shen, Ping Liu, Muchen Wu, Qianqi Shen, Benjamin Le, Fedor Borisyuk, Jingwei Wu, Wenjing Zhang",2026,ArXiv,arXiv:2602.07333v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.07333v1,pdf_ref|targeted_search
InT: Self-Proposed Interventions Enable Credit Assignment in LLM Reasoning,"Matthew Y. R. Yang, Hao Bai, Ian Wu, Gene Yang, Amrith Setlur, Aviral Kumar",2026,ArXiv,arXiv:2601.14209v1,"Insufficient concrete detail for summary (role=LLM reward module, setting=hierarchical/long-horizon RL, domain=missing)",arxiv,https://arxiv.org/abs/2601.14209v1,targeted_search
InT: Self-Proposed Interventions Enable Credit Assignment in LLM Reasoning,"Matthew Y. R. Yang, Hao Bai, Ian Wu, Gene Yang, Amrith Setlur, Aviral Kumar",2026,arXiv (Cornell University),arXiv:2601.14209,"Insufficient concrete detail for summary (role=LLM reward module, setting=hierarchical/long-horizon RL, domain=missing)",arxiv,https://arxiv.org/abs/2601.14209,targeted_search
IntentRL: Training Proactive User-intent Agents for Open-ended Deep Research via Reinforcement Learning,"Haohao Luo, Zexi Li, Yuexiang Xie, Wenhao Zhang, Yaliang Li, Ying Shen",2026,ArXiv,arXiv:2602.03468v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.03468v1,targeted_search
Internalizing Meta-Experience into Memory for Guided Reinforcement Learning in Large Language Models,"Shiting Huang, Zecheng Li, Yu Zeng, Qingnan Ren, Zhen Fang, Qisheng Su, Kou Shi, Lin Chen, Zehui Chen, Feng Zhao",2026,ArXiv,arXiv:2602.10224v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.10224v1,papers.csv|pdf_ref|targeted_search
Intrinsic Credit Assignment for Long Horizon Interaction,"Ilze Amanda Auzina, Joschka Strüber, Sergio Hernández-Gutiérrez, Shashwat Goel, Ameya Prabhu, Matthias Bethge",2026,ArXiv,arXiv:2602.12342v1,"Insufficient concrete detail for summary (role=LLM planner, setting=hierarchical/long-horizon RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.12342v1,targeted_search
Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates,"Yibo Li, Zijie Lin, Ailin Deng, Xuan Zhang, Yufei He, Shuo Ji, Tri Cao, Bryan Hooi",2026,ArXiv,arXiv:2601.18510v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2601.18510v1,papers.csv|targeted_search
KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning,"Kris Shengjun Dong, Sahil Modi, Dima Nikiforov, Sana Damani, Edward Lin, Siva Kumar Sastry Hari, Christos Kozyrakis",2026,ArXiv,arXiv:2602.14293v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.14293v1,targeted_search
KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning,"Kevin Dong, Sahil Modi, Dima Nikiforov, Sana Damani, Edward Lin, Siva Kumar Sastry Hari, Christos Kozyrakis",2026,arXiv (Cornell University),arXiv:2602.14293,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.14293,targeted_search
Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree,"Leyi Zhao, Weijie Huang, Yitong Guo, Jiang Bian, Chenghong Wang, Xuhong Zhang",2026,ArXiv,arXiv:2601.14523v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2601.14523v1,papers.csv|pdf_ref|targeted_search
Latent Poincaré Shaping for Agentic Reinforcement Learning,"Hanchen Xia, Baoyou Chen, Zelin Zang, Yutang Ge, Guojiang Zhao, Siyu Zhu",2026,ArXiv,arXiv:2602.09375v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.09375v1,targeted_search
Learning Abstractions for Hierarchical Planning in Program-Synthesis Agents,"Zergham Ahmed, Kazuki Irie, Joshua B. Tenenbaum, Christopher J. Bates, Samuel J. Gershman",2026,ArXiv,arXiv:2602.00929v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.00929v1,targeted_search
Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,"Haozhen Zhang, Haodong Yue, Tao Feng, Quanyu Long, Jianzhu Bao, Bowen Jin, Weizhi Zhang, Xiao Li, Jiaxuan You, Chengwei Qin, Wenya Wang",2026,ArXiv,arXiv:2602.06025v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.06025v1,targeted_search
Learning Query-Specific Rubrics from Human Preferences for DeepResearch Report Generation,"Changze Lv, Jie Zhou, Wentao Zhao, Jingwen Xu, Zisu Huang, Muzhao Tian, Shihan Dou, Tao Gui, Le Tian, Xiao Zhou, Xiaoqing Zheng, Xuanjing Huang, Jie Zhou",2026,ArXiv,arXiv:2602.03619v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.03619v1,targeted_search
Learning to Configure Agentic AI Systems,"Aditya Taparia, Som Sagar, Ransalu Senanayake",2026,ArXiv,arXiv:2602.11574v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.11574v1,targeted_search
Learning to Configure Agentic AI Systems,"Aditya Taparia, Som Sagar, Ransalu Senanayake",2026,arXiv (Cornell University),arXiv:2602.11574,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.11574,targeted_search
Learning to Evict from Key-Value Cache,"Luca Moschella, Laura Manduchi, Ozan Sener",2026,ArXiv,arXiv:2602.10238v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.10238v1,targeted_search
Learning to Evict from Key-Value Cache,"Maarten Bosma, Laura Manduchi, Ozan Sener",2026,arXiv (Cornell University),arXiv:2602.10238,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.10238,targeted_search
Learning to Inject: Automated Prompt Injection via Reinforcement Learning,"Xin Chen, Jie Zhang, Florian Tramer",2026,ArXiv,arXiv:2602.05746v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.05746v1,targeted_search
LLM-TOC: LLM-Driven Theory-of-Mind Adversarial Curriculum for Multi-Agent Generalization,"Chenxu Wang, Jiang Yuan, Tianqi Yu, Xinyue Jiang, Liuyu Xiang, Junge Zhang, Zhaofeng He",2026,Preprints.org,10.20944/preprints202602.1147.v1,Scope leak markers present: PPO_for_LLM,openalex,https://openalex.org/W7129003664,targeted_search
LongR: Unleashing Long-Context Reasoning via Reinforcement Learning with Dense Utility Rewards,"Bowen Ping, Zijun Chen, Yiyao Yu, Tingfeng Hui, Junchi Yan, Baobao Chang",2026,ArXiv,arXiv:2602.05758v1,"Insufficient concrete detail for summary (role=LLM reward module, setting=reward-shaping RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.05758v1,papers.csv|targeted_search
LongR: Unleashing Long-Context Reasoning via Reinforcement Learning with Dense Utility Rewards,"Bowen Ping, Zijun Chen, Yiyao Yu, Tingfeng Hui, Junchi Yan, Baobao Chang",2026,arXiv (Cornell University),arXiv:2602.05758,"Insufficient concrete detail for summary (role=LLM reward module, setting=reward-shaping RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.05758,papers.csv|targeted_search
MedSAM-Agent: Empowering Interactive Medical Image Segmentation with Multi-turn Agentic Reinforcement Learning,"Shengyuan Liu, Liuxin Bao, Qi Yang, Wanting Geng, Boyun Zheng, Chenxin Li, Wenting Chen, Houwen Peng, Yixuan Yuan",2026,ArXiv,arXiv:2602.03320v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.03320v1,targeted_search
MobileManiBench: Simplifying Model Verification for Mobile Manipulation,"Wenbo Wang, Fangyun Wei, QiXiu Li, Xi Chen, Yaobo Liang, Chang Xu, Jiaolong Yang, Baining Guo",2026,ArXiv,arXiv:2602.05233v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.05233v1,pdf_ref|targeted_search
Online Causal Kalman Filtering for Stable and Effective Policy Optimization,"Shuo He, Lang Feng, Xin Cheng, Lei Feng, Bo An",2026,ArXiv,arXiv:2602.10609v1,"Insufficient concrete detail for summary (role=LLM-guided policy component, setting=policy optimization RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.10609v1,targeted_search
OpenTinker: Separating Concerns in Agentic Reinforcement Learning,"Siqi Zhu, Jiaxuan You",2026,ArXiv,arXiv:2601.07376v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2601.07376v1,targeted_search
P1-VL: Bridging Visual Perception and Scientific Reasoning in Physics Olympiads,"Yun Luo, Futing Wang, Qianjia Cheng, Fangchen Yu, Haodi Lei, Jianhao Yan, Chenxi Li, Jiacheng Chen, Yufeng Zhao, Haiyuan Wan, Yuchen Zhang, Shenghe Zheng, Junchi Yao, Qingyang Zhang, Haonan He, Wenxuan Zeng, Li Sheng, Chengxing Xie, Yuxin Zuo, Yizhuo Li, Yulun Wu, Rui Huang, Dongzhan Zhou, Kai Chen, Yu Qiao, Lei Bai, Yu Cheng, Ning Ding, Bowen Zhou, Peng Ye, Ganqu Cui",2026,ArXiv,arXiv:2602.09443v1,Scope leak markers present: PostTraining,arxiv,https://arxiv.org/abs/2602.09443v1,targeted_search
Paying Less Generalization Tax: A Cross-Domain Generalization Study of RL Training for LLM Agents,"Zhihan Liu, Lin Guan, Yixin Nie, Kai Zhang, Zhuoqun Hao, Lin Chen, Asli Celikyilmaz, Zhaoran Wang, Na Zhang",2026,ArXiv,arXiv:2601.18217v1,Scope leak markers present: PostTraining,arxiv,https://arxiv.org/abs/2601.18217v1,targeted_search
Personalized dynamic lighting via LLM-Empowered multi-Agent reinforcement learning: From user intent to photometric control,"Ye Tao, Jiakuo Duan, Yongjie Du, Hui Li, Xu Yu, Xiaoni Wang",2026,Expert Systems with Applications,10.1016/j.eswa.2026.131633,Ambiguous directionality or insufficient detail in abstract,openalex,https://openalex.org/W7128515283,papers.csv|targeted_search
Privileged Information Distillation for Language Models,"Emiliano Penaloza, Dheeraj Vattikonda, Nicolas Gontier, Alexandre Lacoste, Laurent Charlin, Massimo Caccia",2026,ArXiv,arXiv:2602.04942v3,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.04942v3,papers.csv|targeted_search
PRL: Process Reward Learning Improves LLMs' Reasoning Ability and Broadens the Reasoning Boundary,"Jiarui Yao, Ruida Wang, Tong Zhang",2026,ArXiv,arXiv:2601.10201v1,"Insufficient concrete detail for summary (role=LLM reward module, setting=policy optimization RL, domain=missing)",arxiv,https://arxiv.org/abs/2601.10201v1,targeted_search
