RefNo,Title,ArXiv,DOI,YearGuess,RawText
29,,,,2020,"T. Brown, B. Mann, N. Ryder, M. Subbiah, J. D. Kaplan, P. Dhariwal, A. Neelakantan, P. Shyam et al., “Language models are few-shot learners,” Advances in neural information processing systems, vol. 33, pp. 1877–1901, 2020."
30,,,,2023,"A. Chowdhery, S. Narang, J. Devlin, M. Bosma, G. Mishra, A. Roberts, P. Barham, H. W. Chung et al., “Palm: Scaling language modeling with pathways,” Journal of Machine Learning Research, vol. 24, no. 240, pp. 1–113, 2023."
31,,,,2023,"A. J. Thirunavukarasu, D. S. J. Ting, K. Elangovan, L. Gutierrez, T. F. Tan, and D. S. W. Ting, “Large language models in medicine,” Nature medicine, vol. 29, no. 8, pp. 1930–1940, 2023."
32,,,,2023,"D. A. Boiko, R. MacKnight, B. Kline, and G. Gomes, “Autonomous chemical research with large language models,” Nature, vol. 624, no. 7992, pp. 570–578, 2023."
33,,,,2024,"G. Jiang, Z. Ma, L. Zhang, and J. Chen, “Eplus-llm: A large language model-based computing platform for automated building energy modeling,” Applied Energy, vol. 367, p. 123431, 2024."
34,,,,2024,"H. Tan, Z. Guo, Z. Lin, Y. Chen, D. Huang, W. Yuan, H. Zhang, and J. Yan, “General generative ai-based image augmentation method for robust rooftop pv segmentation,” Applied Energy, vol. 368, p. 123554, 2024."
35,,2407.05365,,2024,"X. Zhou, H. Zhao, Y. Cheng, Y. Cao, G. Liang, G. Liu, and J. Zhao, “Elecbench: a power dispatch evaluation benchmark for large language models,” arXiv preprint arXiv:2407.05365, 2024."
36,,,,2023,"J. Liang, W. Huang, F. Xia, P. Xu, K. Hausman, B. Ichter, P. Florence, and A. Zeng, “Code as policies: Language model programs for embodied control,” in 2023 IEEE International Conference on Robotics and Automation (ICRA). IEEE, 2023, pp. 9493–9500."
37,,,,2023,"T. Webb, K. J. Holyoak, and H. Lu, “Emergent analogical reasoning in large language models,” Nature Human Behaviour, vol. 7, no. 9, pp. 1526–1541, 2023."
38,,2303.03846,,2023,"J. Wei, J. Wei, Y. Tay, D. Tran, A. Webson, Y. Lu, X. Chen, H. Liu et al., “Larger language models do in-context learning differently,” arXiv preprint arXiv:2303.03846, 2023."
39,,2212.10403,,2022,"J. Huang and K. C.-C. Chang, “Towards reasoning in large language models: A survey,” arXiv preprint arXiv:2212.10403, 2022."
40,,,,2023,"J. Yu, X. Wang, S. Tu, S. Cao, D. Zhang-Li, X. Lv, H. Peng, Z. Yao et al., “Kola: Carefully benchmarking world knowledge of large language models,” 2023."
41,,,,2023,"I. Singh, V. Blukis, A. Mousavian, A. Goyal, D. Xu, J. Tremblay, D. Fox, J. Thomason et al., “Progprompt: program generation for situated robot task planning using large language models,” Autonomous Robots, pp. 1–14, 2023."
42,,,,2022,"N. Stiennon, L. Ouyang, J. Wu, D. M. Ziegler, R. Lowe, C. Voss, A. Radford, D. Amodei et al., “Learning to summarize from human feedback,” 2022."
43,,,,2023,"E. Akyürek, D. Schuurmans, J. Andreas, T. Ma, and D. Zhou, “What learning algorithm is in-context learning? investigations with linear models,” 2023."
44,,,,2023,"Y. Du, O. Watkins, Z. Wang, C. Colas, T. Darrell, P. Abbeel, A. Gupta, and J. Andreas, “Guiding Pretraining in Reinforcement Learning with Large Language Models,” Sep. 2023."
45,,,,2023,"T. Carta, C. Romac, T. Wolf, S. Lamprier, O. Sigaud, and P.-Y. Oudeyer, “Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning,” Sep. 2023."
46,,,,2023,"J. Lin, Y. Du, O. Watkins, D. Hafner, P. Abbeel, D. Klein, and A. Dragan, “Learning to Model the World with Language,” Jul. 2023."
47,,,,2023,"H. Li, X. Yang, Z. Wang, X. Zhu, J. Zhou, Y. Qiao, X. Wang, H. Li et al., “Auto mc-reward: Automated dense reward design with large language models for minecraft,” 2023."
48,,,,2023,"S. Chakraborty, K. Weerakoon, P. Poddar, M. Elnoor, P. Narayanan, C. Busart, P. Tokekar, A. S. Bedi et al., “RE-MOVE: An Adaptive Policy Design for Robotic Navigation Tasks in Dynamic Environments via Language-Based Feedback,” Sep. 2023."
49,,2302.09368,,2023,"J.-C. Pang, X.-Y. Yang, S.-H. Yang, and Y. Yu, “Natural languageconditioned reinforcement learning with inside-out task language development and translation,” 2023. [Online]. Available: https: //arxiv.org/abs/2302.09368"
50,,,,2018,"D. Kalashnikov, A. Irpan, P. Pastor, J. Ibarz, A. Herzog, E. Jang, D. Quillen, E. Holly et al., “Qt-opt: Scalable deep reinforcement learning for vision-based robotic manipulation,” 2018."
51,,,,2020,"K. Wang, B. Kang, J. Shao, and J. Feng, “Improving generalization in reinforcement learning with mixture regularization,” Advances in Neural Information Processing Systems, vol. 33, pp. 7968–7978, 2020."
52,,,,2022,"R. Devidze, P. Kamalaruban, and A. Singla, “Exploration-guided reward shaping for reinforcement learning under sparse rewards,” Advances in Neural Information Processing Systems, vol. 35, pp. 5829– 5842, 2022."
53,,1904.07854,,2019,"A. Singh, L. Yang, K. Hartikainen, C. Finn, and S. Levine, “End-toend robotic reinforcement learning without reward engineering,” arXiv preprint arXiv:1904.07854, 2019."
54,,,,2017,"D. Hadfield-Menell, S. Milli, P. Abbeel, S. J. Russell, and A. Dragan, “Inverse reward design,” Advances in neural information processing systems, vol. 30, 2017."
55,,1912.11206,,2019,"C. Xiao, Y. Wu, C. Ma, D. Schuurmans, and M. Müller, “Learning to combat compounding-error in model-based reinforcement learning,” arXiv preprint arXiv:1912.11206, 2019."
56,,,,2023,"T. M. Moerland, J. Broekens, A. Plaat, C. M. Jonker et al., “Modelbased reinforcement learning: A survey,” Foundations and Trends® in Machine Learning, vol. 16, no. 1, pp. 1–118, 2023."
57,,,,2024,"M. Cho, J. Park, S. Lee, and Y. Sung, “Hard tasks first: Multitask reinforcement learning through task scheduling,” in Forty-first International Conference on Machine Learning, 2024. [Online]. Available: https://openreview.net/forum?id=haUOhXo70o"
58,,2404.05950,,2024,"J. Feng, M. Chen, Z. Pu, T. Qiu, and J. Yi, “Efficient multi-task reinforcement learning via task-specific action correction,” 2024. [Online]. Available: https://arxiv.org/abs/2404.05950"
59,,,,2022,"L. Sun, H. Zhang, W. Xu, and M. Tomizuka, “Paco: Parametercompositional multi-task reinforcement learning,” Advances in Neural Information Processing Systems, vol. 35, pp. 21 495–21 507, 2022. 19"
60,,,,2024,"G. Zhang, A. Jain, I. Hwang, S.-H. Sun, and J. J. Lim, “Efficient multi-task reinforcement learning via selective behavior sharing,” 2024. [Online]. Available: https://openreview.net/forum?id=LYGHdwyXUb"
61,,,,2079,"N. Vithayathil Varghese and Q. H. Mahmoud, “A survey of multi-task deep reinforcement learning,” Electronics, vol. 9, no. 9, 2020. [Online]. Available: https://www.mdpi.com/2079-9292/9/9/1363"
62,,,,2023,"T. Xiao, H. Chan, P. Sermanet, A. Wahid, A. Brohan, K. Hausman, S. Levine, and J. Tompson, “Robotic Skill Acquisition via Instruction Augmentation with Vision-Language Models,” Jul. 2023."
63,,2303.16563,,2023,"H. Yuan, C. Zhang, H. Wang, F. Xie, P. Cai, H. Dong, and Z. Lu, “Plan4mc: Skill reinforcement learning and planning for open-world minecraft tasks,” arXiv preprint arXiv:2303.16563, 2023."
64,,,,2023,"J. Rocamonde, V. Montesinos, E. Nava, E. Perez, and D. Lindner, “Vision-Language Models are Zero-Shot Reward Models for Reinforcement Learning,” Oct. 2023."
65,,,,2017,"A. Vaswani, N. M. Shazeer, N. Parmar, J. Uszkoreit, L. Jones, A. N. Gomez, L. Kaiser, and I. Polosukhin, “Attention is all you need,” in Neural Information Processing Systems, 2017. [Online]. Available: https://api.semanticscholar.org/CorpusID:13756489"
66,,,,2022,"M. Shanahan, “Talking about large language models,” ArXiv, vol. abs/2212.03551, 2022. [Online]. Available: https://api.semanticscholar. org/CorpusID:254366666"
67,,,,1940,"H. Touvron, T. Lavril, G. Izacard, X. Martinet, M.-A. Lachaux, T. Lacroix, B. Rozière, N. Goyal et al., “Llama: Open and efficient foundation language models,” ArXiv, vol. abs/2302.13971, 2023. [Online]. Available: https://api.semanticscholar.org/CorpusID: 257219404"
68,,,,2020,"J. Kaplan, S. McCandlish, T. J. Henighan, T. B. Brown, B. Chess, R. Child, S. Gray, A. Radford et al., “Scaling laws for neural language models,” ArXiv, vol. abs/2001.08361, 2020. [Online]. Available: https://api.semanticscholar.org/CorpusID:210861095"
69,,,,2022,"J. Hoffmann, S. Borgeaud, A. Mensch, E. Buchatskaya, T. Cai, E. Rutherford, D. de Las Casas, L. A. Hendricks et al., “Training compute-optimal large language models,” ArXiv, vol. abs/2203.15556, 2022. [Online]. Available: https://api.semanticscholar.org/CorpusID: 247778764"
70,,,,2022,"J. Wei, Y. Tay, R. Bommasani, C. Raffel, B. Zoph, S. Borgeaud, D. Yogatama, M. Bosma et al., “Emergent abilities of large language models,” Trans. Mach. Learn. Res., vol. 2022, 2022. [Online]. Available: https://api.semanticscholar.org/CorpusID:249674500"
71,,2110.08207,,2021,"V. Sanh, A. Webson, C. Raffel, S. H. Bach, L. Sutawika, Z. Alyafeai, A. Chaffin, A. Stiegler et al., “Multitask prompted training enables zero-shot task generalization,” arXiv preprint arXiv:2110.08207, 2021."
72,,,,2022,"L. Ouyang, J. Wu, X. Jiang, D. Almeida, C. L. Wainwright, P. Mishkin, C. Zhang, S. Agarwal et al., “Training language models to follow instructions with human feedback,” 2022."
73,,2408.03847,,2024,"Y. Cheng, H. Zhao, X. Zhou, J. Zhao, Y. Cao, and C. Yang, “Gaia– a large language model for advanced power dispatch,” arXiv preprint arXiv:2408.03847, 2024."
74,,,,2023,"J. Wei, X. Wang, D. Schuurmans, M. Bosma, B. Ichter, F. Xia, E. Chi, Q. Le et al., “Chain-of-thought prompting elicits reasoning in large language models,” 2023."
75,,,,2023,"S. Yao, D. Yu, J. Zhao, I. Shafran, T. L. Griffiths, Y. Cao, and K. Narasimhan, “Tree of thoughts: Deliberate problem solving with large language models,” 2023."
76,,,,2023,"M. Besta, N. Blach, A. Kubicek, R. Gerstenberger, L. Gianinazzi, J. Gajda, T. Lehmann, M. Podstawski et al., “Graph of thoughts: Solving elaborate problems with large language models,” 2023."
77,,,,2021,"Z. Rao, Y. Wu, Z. Yang, W. Zhang, S. Lu, W. Lu, and Z. Zha, “Visual navigation with multiple goals based on deep reinforcement learning,” IEEE Transactions on Neural Networks and Learning Systems, vol. 32, no. 12, pp. 5445–5455, 2021."
78,,,,2021,"C. Huang, R. Zhang, M. Ouyang, P. Wei, J. Lin, J. Su, and L. Lin, “Deductive reinforcement learning for visual autonomous urban driving navigation,” IEEE Transactions on Neural Networks and Learning Systems, vol. 32, no. 12, pp. 5379–5391, 2021."
79,,,,2020,"M. Yang, W. Huang, W. Tu, Q. Qu, Y. Shen, and K. Lei, “Multitask learning and reinforcement learning for personalized dialog generation: An empirical study,” IEEE transactions on neural networks and learning systems, vol. 32, no. 1, pp. 49–62, 2020."
80,,,,2023,"Z. He, J. Li, F. Wu, H. Shi, and K.-S. Hwang, “Derl: Coupling decomposition in action space for reinforcement learning task,” IEEE Transactions on Emerging Topics in Computational Intelligence, 2023."
81,,,,2023,"Y. Liu, Y. Zhang, Y. Wang, F. Hou, J. Yuan, J. Tian, Y. Zhang, Z. Shi et al., “A survey of visual transformers,” IEEE Transactions on Neural Networks and Learning Systems, 2023."
82,,,,2023,"Y. J. Ma, W. Liang, G. Wang, D.-A. Huang, O. Bastani, D. Jayaraman, Y. Zhu, L. Fan et al., “Eureka: Human-Level Reward Design via Coding Large Language Models,” Oct. 2023."
83,,,,2022,"M. Ahn, A. Brohan, N. Brown, Y. Chebotar, O. Cortes, B. David, C. Finn, C. Fu et al., “Do As I Can, Not As I Say: Grounding Language in Robotic Affordances,” Aug. 2022."
84,,,,2023,"K. Nottingham, P. Ammanabrolu, A. Suhr, Y. Choi, H. Hajishirzi, S. Singh, and R. Fox, “Do Embodied Agents Dream of Pixelated Sheep: Embodied Decision Making using Language Guided World Modelling,” Apr. 2023."
85,,,,2020,"A. Srinivas, M. Laskin, and P. Abbeel, “CURL: Contrastive Unsupervised Representations for Reinforcement Learning,” Sep. 2020."
86,,2007.05929,,2020,"M. Schwarzer, A. Anand, R. Goel, R. D. Hjelm, A. Courville, and P. Bachman, “Data-efficient reinforcement learning with self-predictive representations,” arXiv preprint arXiv:2007.05929, 2020."
87,,,,2023,"F. Paischer, T. Adler, V. Patil, A. Bitto-Nemling, M. Holzleitner, S. Lehner, H. Eghbal-zadeh, and S. Hochreiter, “History Compression via Language Models in Reinforcement Learning,” Feb. 2023."
88,,,,2024,"F. Paischer, T. Adler, M. Hofmarcher, and S. Hochreiter, “Semantic helm: A human-readable memory for reinforcement learning,” Advances in Neural Information Processing Systems, vol. 36, 2024."
89,,,,2021,"A. Radford, J. W. Kim, C. Hallacy, A. Ramesh, G. Goh, S. Agarwal, G. Sastry, A. Askell et al., “Learning transferable visual models from natural language supervision,” in International conference on machine learning. PMLR, 2021, pp. 8748–8763."
90,,1901.02860,,1901,"Z. Dai, Z. Yang, Y. Yang, J. Carbonell, Q. V. Le, and R. Salakhutdinov, “Transformer-xl: Attentive language models beyond a fixed-length context,” 2019. [Online]. Available: https://arxiv.org/abs/1901.02860"
91,,1807.03748,,2018,"A. v. d. Oord, Y. Li, and O. Vinyals, “Representation learning with contrastive predictive coding,” arXiv preprint arXiv:1807.03748, 2018."
92,,,,2024,"W. K. Kim, S. Kim, H. Woo et al., “Efficient policy adaptation with contrastive prompt ensemble for embodied agents,” Advances in Neural Information Processing Systems, vol. 36, 2024."
93,,,,2024,"R. P. Poudel, H. Pandya, S. Liwicki, and R. Cipolla, “Recore: Regularized contrastive representation learning of world model,” in Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2024, pp. 22 904–22 913."
94,,2406.05872,,2024,"S. Basavatia, K. Murugesan, and S. Ratnakar, “Starling: Self-supervised training of text-based reinforcement learning agent with large language models,” arXiv preprint arXiv:2406.05872, 2024."
95,,,,2020,"R. Patel, E. Pavlick, and S. Tellex, “Grounding language to nonmarkovian tasks with no supervision of task specifications.” in Robotics: Science and Systems, vol. 2020, 2020."
96,,,,2021,"T. R. Sumers, M. K. Ho, R. D. Hawkins, K. Narasimhan, and T. L. Griffiths, “Learning rewards from linguistic feedback,” in Proceedings of the AAAI Conference on Artificial Intelligence, vol. 35, no. 7, 2021, pp. 6002–6010."
97,,,,2023,"J. Liang, W. Huang, F. Xia, P. Xu, K. Hausman, B. Ichter, P. Florence, and A. Zeng, “Code as Policies: Language Model Programs for Embodied Control,” May 2023."
98,,,,2023,"C. H. Song, J. Wu, C. Washington, B. M. Sadler, W.-L. Chao, and Y. Su, “Llm-planner: Few-shot grounded planning for embodied agents with large language models,” in Proceedings of the IEEE/CVF International Conference on Computer Vision, 2023, pp. 2998–3009."
99,,,,2024,"B. A. Spiegel, Z. Yang, W. Jurayj, B. Bachmann, S. Tellex, and G. Konidaris, “Informing reinforcement learning agents by grounding language to markov decision processes,” in Workshop on Training Agents with Foundation Models at RLC 2024, 2024. [Online]. Available: https://openreview.net/forum?id=uFm9e4Ly26"
100,,,,2025,"B. Gordon, Y. Bitton, Y. Shafir, R. Garg, X. Chen, D. Lischinski, D. Cohen-Or, and I. Szpektor, “Mismatch quest: Visual and textual feedback for image-text misalignment,” in European Conference on Computer Vision. Springer, 2025, pp. 310–328."
101,,,,2024,"Y. Wang, J. He, D. Wang, Q. Wang, B. Wan, and X. Luo, “Multimodal transformer with adaptive modality weighting for multimodal sentiment analysis,” Neurocomputing, vol. 572, p. 127181, 2024."
102,,2401.13697,,2024,"X. Zhao, S. Poria, X. Li, Y. Chen, and B. Tang, “Toward robust multimodal learning using multimodal foundational models,” arXiv preprint arXiv:2401.13697, 2024."
103,,2401.17032,,2024,"F. Lygerakis, V. Dave, and E. Rueckert, “M2curl: Sample-efficient multimodal reinforcement learning via self-supervised representation learning for robotic manipulation,” arXiv preprint arXiv:2401.17032, 2024."
104,,,,2021,"J. Eschmann, “Reward function design in reinforcement learning,” Reinforcement Learning Algorithms: Analysis and Applications, pp. 25–33, 2021. 20"
105,,,,2017,"J. Andreas, D. Klein, and S. Levine, “Modular multitask reinforcement learning with policy sketches,” in International conference on machine learning. PMLR, 2017, pp. 166–175."
106,,,,2021,"S. Mirchandani, S. Karamcheti, and D. Sadigh, “Ella: Exploration through learned language abstraction,” Advances in Neural Information Processing Systems, vol. 34, pp. 29 529–29 540, 2021."
107,,,,2022,"M. Kwon, S. M. Xie, K. Bullard, and D. Sadigh, “Reward Design with Language Models,” in The Eleventh International Conference on Learning Representations, Sep. 2022."
108,,,,2023,"Y. Wu, Y. Fan, P. P. Liang, A. Azaria, Y. Li, and T. M. Mitchell, “Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals,” Oct. 2023."
109,,,,2023,"K. Chu, X. Zhao, C. Weber, M. Li, and S. Wermter, “Accelerating Reinforcement Learning of Robotic Manipulations via Feedback from Large Language Models,” Nov. 2023."
110,,2308.12270,,2023,"A. Adeniji, A. Xie, C. Sferrazza, Y. Seo, S. James, and P. Abbeel, “Language reward modulation for pretraining reinforcement learning,” arXiv preprint arXiv:2308.12270, 2023."
111,,1910.01108,,1910,"V. Sanh, L. Debut, J. Chaumond, and T. Wolf, “Distilbert, a distilled version of bert: smaller, faster, cheaper and lighter,” 2020. [Online]. Available: https://arxiv.org/abs/1910.01108"
112,,,,2023,"C. Kim, Y. Seo, H. Liu, L. Lee, J. Shin, H. Lee, and K. Lee, “Guide Your Agent with Adaptive Multimodal Rewards,” Oct. 2023."
113,,2203.12601,,2022,"S. Nair, A. Rajeswaran, V. Kumar, C. Finn, and A. Gupta, “R3m: A universal visual representation for robot manipulation,” 2022. [Online]. Available: https://arxiv.org/abs/2203.12601"
114,,,,2023,"Y. Seo, D. Hafner, H. Liu, F. Liu, S. James, K. Lee, and P. Abbeel, “Masked World Models for Visual Control,” May 2023."
115,,,,2022,"K. Grauman, A. Westbury, E. Byrne, Z. Chavis, A. Furnari, R. Girdhar, J. Hamburger, H. Jiang et al., “Ego4d: Around the world in 3,000 hours of egocentric video,” in Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2022, pp. 18 995–19 012."
116,,2402.03681,,2024,"Y. Wang, Z. Sun, J. Zhang, Z. Xian, E. Biyik, D. Held, and Z. Erickson, “Rl-vlm-f: Reinforcement learning from vision language foundation model feedback,” 2024. [Online]. Available: https://arxiv.org/abs/2402.03681"
117,,2306.08647,,2023,"W. Yu, N. Gileadi, C. Fu, S. Kirmani, K.-H. Lee, M. G. Arenas, H.T. L. Chiang, T. Erez et al., “Language to rewards for robotic skill synthesis,” arXiv preprint arXiv:2306.08647, 2023."
118,,,,2023,"A. Madaan, N. Tandon, P. Gupta, S. Hallinan, L. Gao, S. Wiegreffe, U. Alon, N. Dziri et al., “Self-refine: Iterative refinement with selffeedback,” 2023."
119,,,,2023,"J. Song, Z. Zhou, J. Liu, C. Fang, Z. Shu, and L. Ma, “Self-Refined Large Language Model as Automated Reward Function Designer for Deep Reinforcement Learning in Robotics,” Oct. 2023."
120,,,,2024,"T. Xie, S. Zhao, C. H. Wu, Y. Liu, Q. Luo, V. Zhong, Y. Yang, and T. Yu, “Text2reward: Reward shaping with language models for reinforcement learning,” in The Twelfth International Conference on Learning Representations, 2024. [Online]. Available: https://openreview.net/forum?id=tUM39YTRxH"
121,,2304.03738,,2023,"E. Ferrara, “Should chatgpt be biased? challenges and risks of bias in large language models,” arXiv preprint arXiv:2304.03738, 2023."
122,,,,2024,"I. O. Gallegos, R. A. Rossi, J. Barrow, M. M. Tanjim, S. Kim, F. Dernoncourt, T. Yu, R. Zhang et al., “Bias and fairness in large language models: A survey,” Computational Linguistics, pp. 1–79, 2024."
123,,,,2023,"L. Gao, J. Schulman, and J. Hilton, “Scaling laws for reward model overoptimization,” in Proceedings of the 40th International Conference on Machine Learning, ser. Proceedings of Machine Learning Research, A. Krause, E. Brunskill, K. Cho, B. Engelhardt, S. Sabato, and J. Scarlett, Eds., vol. 202. PMLR, 23–29 Jul 2023, pp. 10 835–10 866."
124,,2312.14436,,2023,"S. Chakraborty, A. Bhaskar, A. Singh, P. Tokekar, D. Manocha, and A. S. Bedi, “Rebel: A regularization-based solution for reward overoptimization in reinforcement learning from human feedback,” arXiv preprint arXiv:2312.14436, 2023."
125,,2402.00910,,2024,"A. Radwan, L. Zaafarani, J. Abudawood, F. AlZahrani, and F. Fourat, “Addressing bias through ensemble learning and regularized finetuning,” arXiv preprint arXiv:2402.00910, 2024."
126,,2211.03267,,2022,"Y. Inoue and H. Ohashi, “Prompter: Utilizing large language model prompting for a data efficient embodied instruction following,” arXiv preprint arXiv:2211.03267, 2022."
127,,,,2020,"A. Majumdar, A. Shrivastava, S. Lee, P. Anderson, D. Parikh, and D. Batra, “Improving vision-and-language navigation with image-text pairs from the web,” in Computer Vision–ECCV 2020: 16th European Conference, Glasgow, UK, August 23–28, 2020, Proceedings, Part VI 16. Springer, 2020, pp. 259–274."
128,,,,2021,"M. Janner, Q. Li, and S. Levine, “Offline reinforcement learning as one big sequence modeling problem,” Advances in neural information processing systems, vol. 34, pp. 1273–1286, 2021."
129,,,,2022,"S. Li, X. Puig, C. Paxton, Y. Du, C. Wang, L. Fan, T. Chen, D.-A. Huang et al., “Pre-trained language models for interactive decisionmaking,” Advances in Neural Information Processing Systems, vol. 35, pp. 31 199–31 212, 2022."
130,,2310.20587,,2023,"R. Shi, Y. Liu, Y. Ze, S. S. Du, and H. Xu, “Unleashing the power of pre-trained language models for offline reinforcement learning,” arXiv preprint arXiv:2310.20587, 2023."
131,,,,2024,"Z. Zeng, C. Zhang, S. Wang, and C. Sun, “Goal-conditioned predictive coding for offline reinforcement learning,” Advances in Neural Information Processing Systems, vol. 36, 2024."
