Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Verification_Provider,Verification_URL,Verification_Confidence,Provenance
From Decision to Action in Surgical Autonomy: Multi-Modal Large Language Models for Robot-Assisted Blood Suction,"Sadra Zargarzadeh, Maryam Mirzaei, Yafei Ou, Mahdi Tavakoli",2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3535184,Policy|Planning|Reasoning|Simulation|Verifier|Architecture,"For From Decision to Action in Surgical Autonomy: Multi-Modal Large Language Models for Robot-Assisted Blood Suction, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as planning-augmented RL, making the LLM function part of control, reward, or planning computations. Experiments on robotics manipulation/control environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: From Decision to Action in Surgical Autonomy: Multi-Modal Large Language Models for Robot-Assisted Blood Suction uses a LLM planner to support RL policy learning and control in robotics manipulation/control. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,openalex,https://openalex.org/W4406022307,High,citation_expand|papers.csv|pdf_ref
Demystifying Long Chain-of-Thought Reasoning in LLMs,"Edward Yeo, Yuxuan Tong, Morry Niu, Graham Neubig, Xiang Yue",2025,ArXiv,arXiv:2502.03373v1,Policy|Reward|ToolUse|Reasoning|Verifier|Architecture,"In this work, Demystifying Long Chain-of-Thought Reasoning in LLMs uses an LLM reward module to shape decisions inside an RL training or deployment cycle. The technical setting is reward-shaping RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/navigation environments tasks, with improvements in success rate, returns, or sample efficiency.","Demystifying Long Chain-of-Thought Reasoning in LLMs belongs because the language model is embedded in the RL loop as a LLM reward module, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2502.03373v1,High,papers.csv
The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,"Guibin Zhang, Hejia Geng, Xiaohang Yu, Zhenfei Yin, Zaibin Zhang, Zelin Tan, Heng Zhou, Zhongzhi Li, Xiangyuan Xue, Yijiang Li, Yifan Zhou, Yang Chen, Chen Zhang, Yutao Fan, Zihu Wang, Songtao Huang, Francisco Piedrahita-Velez, Yue Liao, Hongru Wang, Mengyue Yang, Heng Ji, Jun Wang, Shuicheng Yan, Philip Torr, Lei Bai",2025,ArXiv,arXiv:2509.02547v4,Policy|Planning|ToolUse|Memory|Reasoning|Verifier|Architecture,"The Landscape of Agentic Reinforcement Learning for LLMs: A Survey inserts a LLM planner directly into the RL loop. It studies policy optimization RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on web/tool-interaction environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within policy optimization RL on web/tool-interaction environments tasks, as shown in The Landscape of Agentic Reinforcement Learning for LLMs: A Survey. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2509.02547v4,High,papers.csv|pdf_ref|targeted_search
Mixture-of-Minds: Multi-Agent Reinforcement Learning for Table Understanding,"Yuhang Zhou, Mingrui Zhang, Ke Li, Wang, Mingyi, Qiao Liu, Qifei Wang, Jiayi Liu, Fei Liu, Shuyang Li, Weiwei Li, Mingze Gao, Abhishek Kumar, Xiangjun Fan, Zhuokai Zhao, Lizhu Zhang",2025,arXiv (Cornell University),arXiv:2510.20176,Policy|Planning|Reasoning|TreeSearch|Verifier|MultiAgent|Architecture,"For Mixture-of-Minds: Multi-Agent Reinforcement Learning for Table Understanding, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as multi-agent RL, making the LLM function part of control, reward, or planning computations. Experiments on robotics manipulation/control environments indicate stronger task completion behavior than non-LLM baselines.",The contribution is directionally in-scope: Mixture-of-Minds: Multi-Agent Reinforcement Learning for Table Understanding uses a LLM planner to support RL policy learning and control in robotics manipulation/control.,LLM_for_RL,arxiv,https://arxiv.org/abs/2510.20176,High,papers.csv|targeted_search
WorkForceAgent-R1: Incentivizing Reasoning Capability in LLM-based Web Agents via Reinforcement Learning,"Yuchen Zhuang, Di Jin, Jiaao Chen, Wenqi Shi, Hanrui Wang, Chao Zhang",2025,ArXiv,arXiv:2505.22942v2,Policy|Planning|Reward|Reasoning|Architecture|AgentTraining,"WorkForceAgent-R1: Incentivizing Reasoning Capability in LLM-based Web Agents via Reinforcement Learning inserts a LLM planner directly into the RL loop. It studies tool-interactive RL agent training and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on web/navigation environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within tool-interactive RL agent training on web/navigation environments tasks, as shown in WorkForceAgent-R1: Incentivizing Reasoning Capability in LLM-based Web Agents via Reinforcement Learning. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2505.22942v2,High,papers.csv|targeted_search
OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,"Mengkang Hu, Yuhang Zhou, Wendong Fan, Yuzhou Nie, Bowei Xia, Tao Sun, Ziyu Ye, Zhaoxuan Jin, Yingru Li, Qiguang Chen, Zeyu Zhang, Yifeng Wang, Qianshuo Ye, Bernard Ghanem, Ping Luo, Guohao Li",2025,ArXiv,arXiv:2505.23885v2,Policy|Planning|CreditAssignment|Verifier|MultiAgent|Architecture,"In this work, OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is multi-agent RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on multi-agent coordination environments tasks, with improvements in success rate, returns, or sample efficiency.","OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives.",LLM_for_RL,arxiv,https://arxiv.org/abs/2505.23885v2,High,papers.csv
SPELL: Self-Play Reinforcement Learning for evolving Long-Context Language Models,"Ziyi Yang, Weizhou Shen, Ruijun Chen, Chenliang Li, Fanqi Wan, Ming Yan, Xiaojun Quan, Fei Huang",2025,arXiv (Cornell University),arXiv:2509.23863,Reward|Reasoning|Verifier|Curriculum|Architecture,"For SPELL: Self-Play Reinforcement Learning for evolving Long-Context Language Models, an LLM reward module is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as reward-shaping RL, making the LLM function part of control, reward, or planning computations. Experiments on interactive control benchmarks environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: SPELL: Self-Play Reinforcement Learning for evolving Long-Context Language Models uses a LLM reward module to support RL policy learning and control in interactive control benchmarks. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2509.23863,High,papers.csv|pdf_ref|targeted_search
A Survey of Robot Intelligence with Large Language Models,"Hyeongyo Jeong, Haechan Lee, Changwon Kim, Sungtae Shin",2024,Applied Sciences,10.3390/app14198868,Planning|Reward|Exploration|DatasetGeneration|Simulation|LanguageConditioning|Architecture,"A Survey of Robot Intelligence with Large Language Models inserts a LLM planner directly into the RL loop. It studies reward-shaping RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on robotics manipulation/control, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within reward-shaping RL on robotics manipulation/control tasks, as shown in A Survey of Robot Intelligence with Large Language Models. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,openalex,https://openalex.org/W4403074774,High,citation_expand|papers.csv|pdf_ref
"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects","Yuheng Cheng, Ceyao Zhang, Zhengwen Zhang, Xiangrui Meng, Sirui Hong, Wenhao Li, Zihao Wang, Zekai Wang, Feng Yin, Junhua Zhao, Xiuqiang He",2024,ArXiv,arXiv:2401.03428v1,Policy|Planning|Exploration|DatasetGeneration|LanguageConditioning|MultiAgent|Architecture,"In this work, Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is policy optimization RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on multi-agent coordination environments tasks, with improvements in success rate, returns, or sample efficiency.","Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2401.03428v1,High,papers.csv|pdf_ref
On the Prospects of Incorporating Large Language Models (LLMs) in Automated Planning and Scheduling (APS),"Vishal Pallagani, Bharath Muppasani, Kaushik Roy, Francesco Fabiano, Andrea Loreggia, Keerthiram Murugesan, Biplav Srivastava, Francesca Rossi, Lior Horesh, Amit Sheth",2024,Proceedings of the International Conference on Automated Planning and Scheduling,10.1609/icaps.v34i1.31503,Policy|Planning|Verifier|MultiAgent|Architecture,"For On the Prospects of Incorporating Large Language Models (LLMs) in Automated Planning and Scheduling (APS), an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as multi-agent RL, making the LLM function part of control, reward, or planning computations. Experiments on multi-agent coordination environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: On the Prospects of Incorporating Large Language Models (LLMs) in Automated Planning and Scheduling (APS) uses a LLM planner to support RL policy learning and control in multi-agent coordination environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,openalex,https://openalex.org/W4399177300,High,citation_expand|papers.csv|pdf_ref
AutoWebGLM: A Large Language Model-based Web Navigating Agent,"Hanyu Lai, Xiao Liu, Iat Long Iong, Shuntian Yao, Yuxuan Chen, Pengbo Shen, Hao Yu, Hanchen Zhang, Xiaohan Zhang, Yuxiao Dong, Jie Tang",2024,ArXiv,arXiv:2404.03648v2,Policy|ToolUse|Curriculum|Architecture|AgentTraining,"In this work, AutoWebGLM: A Large Language Model-based Web Navigating Agent uses an LLM world model/simulator to shape decisions inside an RL training or deployment cycle. The technical setting is model-based RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/navigation environments tasks, with improvements in success rate, returns, or sample efficiency.","AutoWebGLM: A Large Language Model-based Web Navigating Agent belongs because the language model is embedded in the RL loop as a LLM world model/simulator, not used only for language-only tuning objectives.",LLM_for_RL,arxiv,https://arxiv.org/abs/2404.03648v2,High,papers.csv|pdf_ref|targeted_search
Asynchronous Large Language Model Enhanced Planner for Autonomous Driving,"Yuan Chen, Zi-han Ding, Ziqin Wang, Yan Wang, Lijun Zhang, Si Liu",2024,ArXiv,arXiv:2406.14556v3,Planning|Exploration|ToolUse|Reasoning|Simulation|LanguageConditioning|Architecture,"Asynchronous Large Language Model Enhanced Planner for Autonomous Driving inserts a LLM planner directly into the RL loop. It studies planning-augmented RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on web/tool-interaction environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within planning-augmented RL on web/tool-interaction environments tasks, as shown in Asynchronous Large Language Model Enhanced Planner for Autonomous Driving. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2406.14556v3,High,papers.csv|pdf_ref
Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks,"Murtaza Dalal, Tarun Chiruvolu, Devendra Chaplot, Ruslan Salakhutdinov",2024,ArXiv,arXiv:2405.01534v1,Policy|Planning|Simulation|Architecture,"Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks inserts a LLM planner directly into the RL loop. It studies hierarchical/long-horizon RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on robotics manipulation/control, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within hierarchical/long-horizon RL on robotics manipulation/control tasks, as shown in Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2405.01534v1,High,papers.csv|pdf_ref
ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL,"Yifei Zhou, Andrea Zanette, Jiayi Pan, Sergey Levine, Aviral Kumar",2024,ArXiv,arXiv:2402.19446v1,Policy|Reward|CreditAssignment|Verifier|LanguageConditioning|Architecture,"For ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL, an LLM reward module is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as policy optimization RL, making the LLM function part of control, reward, or planning computations. Experiments on web/navigation environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL uses a LLM reward module to support RL policy learning and control in web/navigation environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2402.19446v1,High,papers.csv|pdf_ref
WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,"Zehan Qi, Xiao Liu, Iat Long Iong, Hanyu Lai, Xueqiao Sun, Wenyi Zhao, Yu Yang, Xinyue Yang, Jiadai Sun, Shuntian Yao, Tianjie Zhang, Wei Xu, Jie Tang, Yuxiao Dong",2024,ArXiv,arXiv:2411.02337v3,Policy|Reward|ToolUse|Curriculum|Architecture|AgentTraining,"In this work, WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning uses an LLM reward module to shape decisions inside an RL training or deployment cycle. The technical setting is tool-interactive RL agent training, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/navigation environments tasks, with improvements in success rate, returns, or sample efficiency.","WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning belongs because the language model is embedded in the RL loop as a LLM reward module, not used only for language-only tuning objectives.",LLM_for_RL,arxiv,https://arxiv.org/abs/2411.02337v3,High,papers.csv|targeted_search
SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models,"Shyam Sundar Kannan, Vishnunandan L. N. Venkatesh, Byung-Cheol Min",2023,ArXiv,arXiv:2309.10062v2,Policy|Planning|DatasetGeneration|Simulation|LanguageConditioning|MultiAgent|Architecture,"For SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as multi-agent RL, making the LLM function part of control, reward, or planning computations. Experiments on robotics manipulation/control environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models uses a LLM planner to support RL policy learning and control in robotics manipulation/control. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2309.10062v2,High,papers.csv|pdf_ref
Theory of Mind for Multi-Agent Collaboration via Large Language Models,"Huao Li, Chong Yu, Simon Stepputtis, Joseph Campbell, Dana Hughes, Charles Lewis, Katia Sycara",2023,Unknown venue,10.18653/v1/2023.emnlp-main.13,Policy|Planning|Exploration|Reasoning|MultiAgent|Architecture,"Theory of Mind for Multi-Agent Collaboration via Large Language Models inserts a LLM planner directly into the RL loop. It studies multi-agent RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on Minecraft or game environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within multi-agent RL on Minecraft or game environments tasks, as shown in Theory of Mind for Multi-Agent Collaboration via Large Language Models. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,openalex,https://openalex.org/W4389523767,High,papers.csv|pdf_ref
Guiding Pretraining in Reinforcement Learning with Large Language Models,"Yuqing Du, Olivia Watkins, Zihan Wang, Cédric Colas, Trevor Darrell, Pieter Abbeel, Abhishek Gupta, Jacob Andreas",2023,ArXiv,arXiv:2302.06692v2,Policy|Reward|Exploration|Simulation|LanguageConditioning|Architecture,"In this work, Guiding Pretraining in Reinforcement Learning with Large Language Models uses an LLM reward module to shape decisions inside an RL training or deployment cycle. The technical setting is reward-shaping RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on robotics manipulation/control tasks, with improvements in success rate, returns, or sample efficiency.","Guiding Pretraining in Reinforcement Learning with Large Language Models belongs because the language model is embedded in the RL loop as a LLM reward module, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2302.06692v2,High,papers.csv|pdf_ref
